species,lat,lon
Emys orbicularis,31.791702,-7.09262
Emys orbicularis,32.0167,-7.16667
Emys orbicularis,32.56707,34.913864
Emys orbicularis,33.484221,-5.059128
Emys orbicularis,33.527955,-5.111348
Emys orbicularis,33.527955,-5.111348
Emys orbicularis,33.527955,-5.111348
Emys orbicularis,33.545483,-5.095784
Emys orbicularis,33.593706,-5.023914
Emys orbicularis,33.647718,-5.030259
Emys orbicularis,33.650044,-5.017183
Emys orbicularis,33.706681,-5.081327
Emys orbicularis,33.720121,-5.053352
Emys orbicularis,34.413889,50.856706
Emys orbicularis,34.989748,-5.197433
Emys orbicularis,35.061119,-5.252713
Emys orbicularis,35.081919,-5.129099
Emys orbicularis,35.162254,-5.359611
Emys orbicularis,35.274536,-5.493673
Emys orbicularis,35.275,-5.494
Emys orbicularis,35.608607,51.002084
Emys orbicularis,35.609693,51.008052
Emys orbicularis,35.609885,51.187728
Emys orbicularis,35.61589,51.051515
Emys orbicularis,35.61698,51.13306
Emys orbicularis,35.638765,51.177208
Emys orbicularis,35.638859,51.099977
Emys orbicularis,35.648821,51.038963
Emys orbicularis,35.652481,51.044556
Emys orbicularis,35.653431,51.350044
Emys orbicularis,35.662362,51.171096
Emys orbicularis,35.665066,51.050758
Emys orbicularis,35.672532,51.030106
Emys orbicularis,35.682162,51.026883
Emys orbicularis,35.69354,51.063736
Emys orbicularis,35.702475,51.274589
Emys orbicularis,35.702694,51.389452
Emys orbicularis,35.716125,51.164317
Emys orbicularis,35.72294,51.024023
Emys orbicularis,35.723347,51.268875
Emys orbicularis,35.742551,51.014836
Emys orbicularis,35.745481,51.11385
Emys orbicularis,35.748318,51.081342
Emys orbicularis,35.751957,51.31968
Emys orbicularis,35.763847,51.159913
Emys orbicularis,35.776536,51.042297
Emys orbicularis,35.777713,51.030943
Emys orbicularis,35.778525,51.444051
Emys orbicularis,35.782586,51.380209
Emys orbicularis,35.783837,51.272036
Emys orbicularis,35.786667,-5.809722
Emys orbicularis,35.976309,51.085174
Emys orbicularis,36.07,-5.61
Emys orbicularis,36.07,-5.61
Emys orbicularis,36.127763,32.962903
Emys orbicularis,36.16,-5.83
Emys orbicularis,36.169998,-5.39
Emys orbicularis,36.17,-5.39
Emys orbicularis,36.204961,6.668932
Emys orbicularis,36.236538,6.776229
Emys orbicularis,36.24,-5.95
Emys orbicularis,36.240002,-5.95
Emys orbicularis,36.244198,6.634766
Emys orbicularis,36.258118,-5.96077
Emys orbicularis,36.259998,-5.39
Emys orbicularis,36.26,-5.39
Emys orbicularis,36.283612,33.924398
Emys orbicularis,36.310471,6.636008
Emys orbicularis,36.312919,6.651628
Emys orbicularis,36.33,-6.05
Emys orbicularis,36.334802,6.775581
Emys orbicularis,36.34,-6.16
Emys orbicularis,36.34,-6.16
Emys orbicularis,36.358017,6.605578
Emys orbicularis,36.375461,33.885304
Emys orbicularis,36.393326,6.768176
