scientificName,decimalLatitude,decimalLongitude
Trachemys scripta scripta,18.451538,-66.33528
Trachemys scripta scripta,19.462368,-99.074252
Trachemys scripta scripta,19.469397,-99.192542
Trachemys scripta scripta,20.703646,-103.391612
Trachemys scripta scripta,22.136687,-101.000052
Trachemys scripta scripta,24.549444,-81.783611
Trachemys scripta scripta,24.573176,-81.748672
Trachemys scripta scripta,24.573247,-81.748987
Trachemys scripta scripta,24.573305,-81.748908
Trachemys scripta scripta,24.573322,-81.749008
Trachemys scripta scripta,24.574149,-81.748518
Trachemys scripta scripta,24.705594,-81.381019
Trachemys scripta scripta,24.705625,-81.380484
Trachemys scripta scripta,24.705639,-81.380428
Trachemys scripta scripta,24.705644,-81.380466
Trachemys scripta scripta,24.712916,-81.383506
Trachemys scripta scripta,25.461782,-80.588263
Trachemys scripta scripta,25.566213,-80.362243
Trachemys scripta scripta,25.623342,-80.308717
Trachemys scripta scripta,25.624647,-80.432062
Trachemys scripta scripta,25.662877,-80.572516
Trachemys scripta scripta,25.669112,-80.284654
Trachemys scripta scripta,25.677205,-80.272726
Trachemys scripta scripta,25.678742,-80.273651
Trachemys scripta scripta,25.685197,-80.277458
Trachemys scripta scripta,25.685977,-80.341103
Trachemys scripta scripta,25.696461,-80.297661
Trachemys scripta scripta,25.705085,-80.157317
Trachemys scripta scripta,25.714081,-80.448459
Trachemys scripta scripta,25.735253,-80.30994
Trachemys scripta scripta,25.736856,-80.766539
Trachemys scripta scripta,25.747798,-80.320982
Trachemys scripta scripta,25.75248,-80.36128
Trachemys scripta scripta,25.753575,-80.379983
Trachemys scripta scripta,25.753575,-80.379959
Trachemys scripta scripta,25.754915,-80.375592
Trachemys scripta scripta,25.755415,-80.379703
Trachemys scripta scripta,25.75575,-80.766517
Trachemys scripta scripta,25.756519,-80.375089
Trachemys scripta scripta,25.756737,-80.375338
Trachemys scripta scripta,25.756962,-80.37542
Trachemys scripta scripta,25.75705,-80.375573
Trachemys scripta scripta,25.757117,-80.375345
Trachemys scripta scripta,25.757167,-80.375257
Trachemys scripta scripta,25.758045,-80.37323
Trachemys scripta scripta,25.758454,-80.37351
Trachemys scripta scripta,25.758472,-80.373542
Trachemys scripta scripta,25.758484,-80.37331
Trachemys scripta scripta,25.7585,-80.373467
Trachemys scripta scripta,25.75895,-80.37361
Trachemys scripta scripta,25.764096,-80.373757
Trachemys scripta scripta,25.791383,-80.218766
Trachemys scripta scripta,25.795637,-80.136394
Trachemys scripta scripta,25.796527,-80.133272
Trachemys scripta scripta,25.820593,-80.287353
Trachemys scripta scripta,25.853072,-80.19732
Trachemys scripta scripta,26.008474,-80.233678
Trachemys scripta scripta,26.009126,-80.232618
Trachemys scripta scripta,26.026915,-80.412513
Trachemys scripta scripta,26.026982,-80.412491
Trachemys scripta scripta,26.028826,-80.413243
Trachemys scripta scripta,26.072369,-80.277902
Trachemys scripta scripta,26.072397,-80.278104
Trachemys scripta scripta,26.072898,-80.277958
Trachemys scripta scripta,26.073297,-80.278069
Trachemys scripta scripta,26.073938,-80.278167
Trachemys scripta scripta,26.074014,-80.306367
Trachemys scripta scripta,26.074556,-80.323885
Trachemys scripta scripta,26.07466,-80.323609
Trachemys scripta scripta,26.076478,-80.252116
Trachemys scripta scripta,26.076675,-80.325079
Trachemys scripta scripta,26.077133,-80.283264
Trachemys scripta scripta,26.11184,-97.168126
Trachemys scripta scripta,26.120511,-80.414092
Trachemys scripta scripta,26.12884,-80.325538
Trachemys scripta scripta,26.137404,-97.173543
Trachemys scripta scripta,26.137408,-97.174071
Trachemys scripta scripta,26.137482,-97.174293
Trachemys scripta scripta,26.137502,-97.174278
Trachemys scripta scripta,26.137548,-97.174789
Trachemys scripta scripta,26.139351,-97.173514
Trachemys scripta scripta,26.142315,-80.309526
Trachemys scripta scripta,26.142396,-80.30952
Trachemys scripta scripta,26.177338,-80.4468
Trachemys scripta scripta,26.177442,-80.129039
Trachemys scripta scripta,26.226794,-80.18889
Trachemys scripta scripta,26.227022,-80.186363
Trachemys scripta scripta,26.228832,-80.188364
Trachemys scripta scripta,26.309645,-80.154442
Trachemys scripta scripta,26.412505,-80.094627
Trachemys scripta scripta,26.427001,-82.086717
Trachemys scripta scripta,26.428201,-82.095996
Trachemys scripta scripta,26.428329,-82.08799
Trachemys scripta scripta,26.428644,-82.083841
Trachemys scripta scripta,26.428888,-82.081616
Trachemys scripta scripta,26.428999,-82.084973
Trachemys scripta scripta,26.429389,-82.080208
Trachemys scripta scripta,26.430665,-82.0833
Trachemys scripta scripta,26.432477,-82.084428
Trachemys scripta scripta,26.440056,-82.107498
Trachemys scripta scripta,26.440796,-82.044273
Trachemys scripta scripta,26.443397,-82.111512
Trachemys scripta scripta,26.445459,-82.112417
Trachemys scripta scripta,26.446424,-82.045051
Trachemys scripta scripta,26.447848,-82.040369
Trachemys scripta scripta,26.448952,-82.1167
Trachemys scripta scripta,26.452938,-82.111649
Trachemys scripta scripta,26.456017,-80.092742
Trachemys scripta scripta,26.456897,-82.131731
Trachemys scripta scripta,26.479276,-80.143068
Trachemys scripta scripta,26.489512,-80.160708
Trachemys scripta scripta,26.531009,-81.817989
Trachemys scripta scripta,26.665629,-80.068882
Trachemys scripta scripta,26.666666,-80.069458
Trachemys scripta scripta,26.676497,-81.882645
Trachemys scripta scripta,26.828967,-80.096886
Trachemys scripta scripta,26.926163,-80.140448
Trachemys scripta scripta,26.973717,-82.086128
Trachemys scripta scripta,26.98461,-82.150625
Trachemys scripta scripta,26.985431,-82.132602
Trachemys scripta scripta,27.301059,-82.487891
Trachemys scripta scripta,27.301938,-82.547183
Trachemys scripta scripta,27.318939,-82.492092
Trachemys scripta scripta,27.336435,-82.530653
Trachemys scripta scripta,27.377344,-82.482699
Trachemys scripta scripta,27.463625,-81.551508
Trachemys scripta scripta,27.570063,-82.507826
Trachemys scripta scripta,27.662818,-82.763256
Trachemys scripta scripta,27.664827,-81.515753
Trachemys scripta scripta,27.674273,-82.688117
Trachemys scripta scripta,27.685093,-97.348486
Trachemys scripta scripta,27.6852,-97.348108
Trachemys scripta scripta,27.685208,-97.34842
Trachemys scripta scripta,27.708357,-82.711894
Trachemys scripta scripta,27.75151,-82.71831
Trachemys scripta scripta,27.762086,-15.597442
Trachemys scripta scripta,27.762699,-15.597485
Trachemys scripta scripta,27.774544,-15.69439
Trachemys scripta scripta,27.78064,-82.640572
Trachemys scripta scripta,27.78222,-82.662045
Trachemys scripta scripta,27.786784,-82.657624
Trachemys scripta scripta,27.786905,-82.640738
Trachemys scripta scripta,27.789056,-82.641592
Trachemys scripta scripta,27.809831,-82.348921
