scientific,decimalLat,decimalLon
Trachemys scripta scripta,18.451537999999999,-66.335279999999997
Trachemys scripta scripta,19.462368000000001,-99.074252000000001
Trachemys scripta scripta,19.469397000000001,-99.192542000000003
Trachemys scripta scripta,20.703645999999999,-103.391611999999995
Trachemys scripta scripta,22.136686999999998,-101.000051999999997
Trachemys scripta scripta,24.549444000000001,-81.783610999999993
Trachemys scripta scripta,24.573176000000000,-81.748671999999999
Trachemys scripta scripta,24.573246999999999,-81.748987000000000
Trachemys scripta scripta,24.573305000000001,-81.748908000000000
Trachemys scripta scripta,24.573322000000001,-81.749008000000003
Trachemys scripta scripta,24.574148999999998,-81.748518000000004
Trachemys scripta scripta,24.705594000000001,-81.381018999999995
Trachemys scripta scripta,24.705625000000001,-81.380483999999996
Trachemys scripta scripta,24.705639000000001,-81.380427999999995
Trachemys scripta scripta,24.705643999999999,-81.380465999999998
Trachemys scripta scripta,24.712916000000000,-81.383505999999997
Trachemys scripta scripta,25.461781999999999,-80.588262999999998
Trachemys scripta scripta,25.566213000000001,-80.362243000000007
Trachemys scripta scripta,25.623342000000001,-80.308717000000001
Trachemys scripta scripta,25.624647000000000,-80.432062000000002
Trachemys scripta scripta,25.662877000000002,-80.572515999999993
Trachemys scripta scripta,25.669111999999998,-80.284654000000003
Trachemys scripta scripta,25.677205000000001,-80.272726000000006
Trachemys scripta scripta,25.678742000000000,-80.273651000000001
Trachemys scripta scripta,25.685196999999999,-80.277457999999996
Trachemys scripta scripta,25.685977000000001,-80.341103000000004
Trachemys scripta scripta,25.696460999999999,-80.297661000000005
Trachemys scripta scripta,25.705085000000000,-80.157317000000006
Trachemys scripta scripta,25.714081000000000,-80.448459000000000
Trachemys scripta scripta,25.735253000000000,-80.309939999999997
Trachemys scripta scripta,25.736856000000000,-80.766538999999995
Trachemys scripta scripta,25.747798000000000,-80.320982000000001
Trachemys scripta scripta,25.752479999999998,-80.361279999999994
Trachemys scripta scripta,25.753575000000001,-80.379982999999996
Trachemys scripta scripta,25.753575000000001,-80.379958999999999
Trachemys scripta scripta,25.754915000000000,-80.375591999999997
Trachemys scripta scripta,25.755414999999999,-80.379703000000006
Trachemys scripta scripta,25.755749999999999,-80.766516999999993
Trachemys scripta scripta,25.756519000000001,-80.375089000000003
Trachemys scripta scripta,25.756737000000001,-80.375337999999999
Trachemys scripta scripta,25.756962000000001,-80.375420000000005
Trachemys scripta scripta,25.757050000000000,-80.375573000000003
Trachemys scripta scripta,25.757117000000001,-80.375344999999996
Trachemys scripta scripta,25.757166999999999,-80.375257000000005
Trachemys scripta scripta,25.758044999999999,-80.373230000000007
Trachemys scripta scripta,25.758454000000000,-80.373509999999996
Trachemys scripta scripta,25.758472000000001,-80.373542000000000
Trachemys scripta scripta,25.758483999999999,-80.373310000000004
Trachemys scripta scripta,25.758500000000002,-80.373467000000005
Trachemys scripta scripta,25.758949999999999,-80.373609999999999
Trachemys scripta scripta,25.764095999999999,-80.373756999999998
Trachemys scripta scripta,25.791383000000000,-80.218766000000002
Trachemys scripta scripta,25.795636999999999,-80.136393999999996
Trachemys scripta scripta,25.796527000000001,-80.133272000000005
Trachemys scripta scripta,25.820592999999999,-80.287352999999996
Trachemys scripta scripta,25.853072000000001,-80.197320000000005
Trachemys scripta scripta,26.008474000000000,-80.233677999999998
Trachemys scripta scripta,26.009125999999998,-80.232618000000002
Trachemys scripta scripta,26.026914999999999,-80.412513000000004
Trachemys scripta scripta,26.026982000000000,-80.412491000000003
Trachemys scripta scripta,26.028825999999999,-80.413242999999994
Trachemys scripta scripta,26.072368999999998,-80.277901999999997
Trachemys scripta scripta,26.072396999999999,-80.278103999999999
Trachemys scripta scripta,26.072897999999999,-80.277957999999998
Trachemys scripta scripta,26.073297000000000,-80.278069000000002
Trachemys scripta scripta,26.073937999999998,-80.278166999999996
Trachemys scripta scripta,26.074013999999998,-80.306366999999995
Trachemys scripta scripta,26.074556000000001,-80.323885000000004
Trachemys scripta scripta,26.074660000000002,-80.323609000000005
Trachemys scripta scripta,26.076478000000002,-80.252116000000001
Trachemys scripta scripta,26.076675000000002,-80.325079000000002
Trachemys scripta scripta,26.077133000000000,-80.283264000000003
Trachemys scripta scripta,26.111840000000001,-97.168126000000001
Trachemys scripta scripta,26.120511000000000,-80.414091999999997
Trachemys scripta scripta,26.128840000000000,-80.325537999999995
Trachemys scripta scripta,26.137404000000000,-97.173542999999995
Trachemys scripta scripta,26.137408000000001,-97.174070999999998
Trachemys scripta scripta,26.137481999999999,-97.174293000000006
Trachemys scripta scripta,26.137502000000001,-97.174278000000001
Trachemys scripta scripta,26.137547999999999,-97.174789000000004
Trachemys scripta scripta,26.139351000000001,-97.173513999999997
Trachemys scripta scripta,26.142315000000000,-80.309526000000005
Trachemys scripta scripta,26.142396000000002,-80.309520000000006
Trachemys scripta scripta,26.177337999999999,-80.446799999999996
Trachemys scripta scripta,26.177441999999999,-80.129039000000006
Trachemys scripta scripta,26.226794000000002,-80.188890000000001
Trachemys scripta scripta,26.227022000000002,-80.186363000000000
Trachemys scripta scripta,26.228832000000001,-80.188364000000007
Trachemys scripta scripta,26.309645000000000,-80.154442000000003
Trachemys scripta scripta,26.412504999999999,-80.094627000000003
Trachemys scripta scripta,26.427001000000001,-82.086716999999993
Trachemys scripta scripta,26.428201000000001,-82.095996000000000
Trachemys scripta scripta,26.428329000000002,-82.087990000000005
Trachemys scripta scripta,26.428643999999998,-82.083841000000007
Trachemys scripta scripta,26.428888000000001,-82.081615999999997
Trachemys scripta scripta,26.428999000000001,-82.084973000000005
Trachemys scripta scripta,26.429389000000000,-82.080207999999999
Trachemys scripta scripta,26.430665000000001,-82.083299999999994
Trachemys scripta scripta,26.432476999999999,-82.084428000000003
Trachemys scripta scripta,26.440055999999998,-82.107498000000007
Trachemys scripta scripta,26.440795999999999,-82.044273000000004
Trachemys scripta scripta,26.443397000000001,-82.111512000000005
Trachemys scripta scripta,26.445459000000000,-82.112416999999994
Trachemys scripta scripta,26.446424000000000,-82.045051000000001
Trachemys scripta scripta,26.447848000000000,-82.040368999999998
Trachemys scripta scripta,26.448951999999998,-82.116699999999994
Trachemys scripta scripta,26.452938000000000,-82.111649000000000
Trachemys scripta scripta,26.456016999999999,-80.092742000000001
Trachemys scripta scripta,26.456897000000001,-82.131731000000002
Trachemys scripta scripta,26.479275999999999,-80.143068000000000
Trachemys scripta scripta,26.489512000000001,-80.160708000000000
Trachemys scripta scripta,26.531009000000001,-81.817988999999997
Trachemys scripta scripta,26.665628999999999,-80.068882000000002
Trachemys scripta scripta,26.666665999999999,-80.069457999999997
Trachemys scripta scripta,26.676497000000001,-81.882644999999997
Trachemys scripta scripta,26.828966999999999,-80.096885999999998
Trachemys scripta scripta,26.926162999999999,-80.140448000000006
Trachemys scripta scripta,26.973717000000001,-82.086128000000002
Trachemys scripta scripta,26.984610000000000,-82.150625000000005
Trachemys scripta scripta,26.985430999999998,-82.132602000000006
Trachemys scripta scripta,27.301058999999999,-82.487891000000005
Trachemys scripta scripta,27.301938000000000,-82.547183000000004
Trachemys scripta scripta,27.318939000000000,-82.492092000000000
Trachemys scripta scripta,27.336435000000002,-82.530653000000001
Trachemys scripta scripta,27.377344000000001,-82.482698999999997
Trachemys scripta scripta,27.463625000000000,-81.551507999999998
Trachemys scripta scripta,27.570063000000001,-82.507825999999994
Trachemys scripta scripta,27.662818000000001,-82.763255999999998
Trachemys scripta scripta,27.664826999999999,-81.515753000000004
Trachemys scripta scripta,27.674272999999999,-82.688117000000005
Trachemys scripta scripta,27.685092999999998,-97.348485999999994
Trachemys scripta scripta,27.685199999999998,-97.348107999999996
Trachemys scripta scripta,27.685207999999999,-97.348420000000004
Trachemys scripta scripta,27.708356999999999,-82.711894000000001
Trachemys scripta scripta,27.751510000000000,-82.718310000000002
Trachemys scripta scripta,27.780639999999998,-82.640572000000006
Trachemys scripta scripta,27.782219999999999,-82.662045000000006
Trachemys scripta scripta,27.786784000000001,-82.657623999999998
Trachemys scripta scripta,27.786905000000001,-82.640737999999999
