scientificName,decimalLatitude,decimalLongitude
Trachemys scripta scripta,50.459714,-104.67775
Trachemys scripta scripta,49.242697,-122.935397
Trachemys scripta scripta,49.238142,-122.976258
Trachemys scripta scripta,49.220821,-123.212358
Trachemys scripta scripta,49.169122,-123.144856
Trachemys scripta scripta,49.129143,-121.953449
Trachemys scripta scripta,49.097904,-122.675514
Trachemys scripta scripta,48.699937,-122.446113
Trachemys scripta scripta,48.469472,-123.47918
Trachemys scripta scripta,48.415233,-123.364312
Trachemys scripta scripta,48.41499,-123.365294
Trachemys scripta scripta,48.413368,-123.366159
Trachemys scripta scripta,46.034421,-122.887558
Trachemys scripta scripta,45.437322,-122.805642
Trachemys scripta scripta,45.428332,-73.589449
Trachemys scripta scripta,45.428257,-73.589526
Trachemys scripta scripta,45.428105,-73.589684
Trachemys scripta scripta,45.428059,-73.589233
Trachemys scripta scripta,45.427885,-73.589761
Trachemys scripta scripta,44.76165,-123.147201
Trachemys scripta scripta,44.711813,-63.606579
Trachemys scripta scripta,44.163855,-79.949843
Trachemys scripta scripta,44.078194,-123.106361
Trachemys scripta scripta,43.716263,-79.349201
Trachemys scripta scripta,43.715763,-79.346849
Trachemys scripta scripta,43.68803,-79.366927
Trachemys scripta scripta,43.686724,-79.501547
Trachemys scripta scripta,43.686546,-79.367155
Trachemys scripta scripta,43.686275,-79.366417
Trachemys scripta scripta,43.684331,-79.364713
Trachemys scripta scripta,43.684331,-79.364713
Trachemys scripta scripta,43.673951,-79.501631
Trachemys scripta scripta,43.648417,-79.593346
Trachemys scripta scripta,43.647836,-79.595786
Trachemys scripta scripta,43.64681,-79.46974
Trachemys scripta scripta,43.646654,-79.46968
Trachemys scripta scripta,43.622071,-79.335475
Trachemys scripta scripta,43.614233,-116.228038
Trachemys scripta scripta,43.565878,-79.672629
Trachemys scripta scripta,43.483013,-79.625013
Trachemys scripta scripta,43.320301,-79.903413
Trachemys scripta scripta,43.21585,-79.923895
Trachemys scripta scripta,43.165191,-88.189696
Trachemys scripta scripta,43.142603,-77.501955
Trachemys scripta scripta,43.04924,-88.018975
Trachemys scripta scripta,43.024625,-78.820297
Trachemys scripta scripta,43.021208,-78.802442
Trachemys scripta scripta,42.981428,-82.412658
