Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio_1 contribution,bio_10 contribution,bio_11 contribution,bio_12 contribution,bio_13 contribution,bio_14 contribution,bio_15 contribution,bio_16 contribution,bio_17 contribution,bio_18 contribution,bio_19 contribution,bio_2 contribution,bio_3 contribution,bio_4 contribution,bio_5 contribution,bio_6 contribution,bio_7 contribution,bio_8 contribution,bio_9 contribution,bio_1 permutation importance,bio_10 permutation importance,bio_11 permutation importance,bio_12 permutation importance,bio_13 permutation importance,bio_14 permutation importance,bio_15 permutation importance,bio_16 permutation importance,bio_17 permutation importance,bio_18 permutation importance,bio_19 permutation importance,bio_2 permutation importance,bio_3 permutation importance,bio_4 permutation importance,bio_5 permutation importance,bio_6 permutation importance,bio_7 permutation importance,bio_8 permutation importance,bio_9 permutation importance,Training gain without bio_1,Training gain without bio_10,Training gain without bio_11,Training gain without bio_12,Training gain without bio_13,Training gain without bio_14,Training gain without bio_15,Training gain without bio_16,Training gain without bio_17,Training gain without bio_18,Training gain without bio_19,Training gain without bio_2,Training gain without bio_3,Training gain without bio_4,Training gain without bio_5,Training gain without bio_6,Training gain without bio_7,Training gain without bio_8,Training gain without bio_9,Training gain with only bio_1,Training gain with only bio_10,Training gain with only bio_11,Training gain with only bio_12,Training gain with only bio_13,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_16,Training gain with only bio_17,Training gain with only bio_18,Training gain with only bio_19,Training gain with only bio_2,Training gain with only bio_3,Training gain with only bio_4,Training gain with only bio_5,Training gain with only bio_6,Training gain with only bio_7,Training gain with only bio_8,Training gain with only bio_9,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
Emys_orbicularis_0,3611,1.7892,1.8704,500,0.9363,33574,2.9752,2.8264,11.1621,1.0267,0.0340,0.0708,0.1761,0.0046,6.3851,2.0767,27.2049,5.5023,0.1563,13.6633,1.5771,23.6978,0.2809,0.9847,0.1950,0.4104,55.3909,0.0000,2.1162,0.1143,0.3319,0.5486,0.0000,1.8554,1.1219,3.2592,5.3838,6.3081,1.7714,2.0086,15.6964,2.8508,0.7107,0.1213,1.7881,1.7785,1.7883,1.7880,1.7889,1.7882,1.7874,1.7893,1.7881,1.7880,1.7840,1.7744,1.7846,1.7854,1.7869,1.7884,1.7871,1.7865,1.7874,1.3379,1.1376,1.2694,0.6610,0.4771,0.6281,0.6225,0.5258,0.7134,0.4190,0.8122,0.3610,0.7306,0.5878,0.8908,1.1801,0.4680,0.7410,0.9477,8.6336,0.1013,1.0000,0.0364,0.2196,0.0000,5.0000,0.2016,0.1529,0.0100,10.0000,0.3952,0.1292,0.0523,1.3272,0.0498,0.2069,0.0000,13.5451,0.4716,0.1188,0.0997,14.6267,0.4880,0.1160,0.1160,4.9201,0.1976,0.1535,0.0083,1.6932,0.0653,0.1965,0.0003,3.4631,0.1346,0.1673,0.0039
Emys_orbicularis_1,3611,1.7789,1.8553,500,0.9358,33579,4.5494,3.5372,3.5754,0.3864,0.0111,0.0641,0.6408,0.0000,6.2511,2.4558,26.9328,4.6182,0.2602,13.2186,1.3201,30.0899,0.6762,0.9707,0.4420,0.0916,51.6250,0.0000,1.0099,0.0906,0.2517,0.5152,0.0000,1.3409,1.4317,3.2736,3.7088,10.2446,1.0033,1.2941,21.6358,1.7953,0.6102,0.0775,1.7787,1.7696,1.7791,1.7780,1.7786,1.7784,1.7770,1.7787,1.7790,1.7774,1.7744,1.7663,1.7739,1.7771,1.7780,1.7777,1.7777,1.7771,1.7781,1.3387,1.1314,1.2688,0.6654,0.4781,0.6398,0.6358,0.5287,0.7217,0.4238,0.8136,0.3493,0.7213,0.5797,0.8917,1.1820,0.4638,0.7436,0.9553,8.6434,0.1021,1.0000,0.0356,0.2250,0.0000,5.0000,0.1928,0.1554,0.0144,10.0000,0.3822,0.1304,0.0593,1.2891,0.0460,0.2131,0.0000,13.3130,0.4565,0.1202,0.1000,14.7732,0.4852,0.1163,0.1163,5.4596,0.2132,0.1519,0.0152,1.4339,0.0527,0.2083,0.0003,3.5840,0.1384,0.1689,0.0061
Emys_orbicularis_2,3611,1.7823,1.8625,500,0.9360,33587,4.8357,2.9381,3.6264,0.4592,0.0098,0.0658,0.5536,0.1229,8.1877,3.0865,24.4040,5.4794,0.2558,11.7341,2.4554,30.3720,0.2773,0.6954,0.4410,0.2053,51.1363,0.0000,0.7599,0.1204,0.3308,0.1457,0.0729,2.6300,2.0746,2.2574,3.6855,10.4366,0.4729,0.6875,21.5847,2.6597,0.6505,0.0894,1.7829,1.7755,1.7824,1.7820,1.7821,1.7828,1.7817,1.7829,1.7822,1.7806,1.7802,1.7690,1.7761,1.7823,1.7816,1.7809,1.7808,1.7809,1.7822,1.3287,1.1337,1.2549,0.6524,0.4585,0.6130,0.6086,0.5095,0.7099,0.4269,0.7852,0.3706,0.7122,0.5515,0.9007,1.1667,0.4389,0.7411,0.9408,8.6388,0.1018,1.0000,0.0367,0.2207,0.0003,5.0000,0.1993,0.1540,0.0122,10.0000,0.3892,0.1299,0.0557,0.9776,0.0357,0.2218,0.0000,13.6204,0.4715,0.1191,0.1000,14.8071,0.4915,0.1161,0.1163,5.2766,0.2149,0.1519,0.0130,1.6750,0.0650,0.1982,0.0006,3.4926,0.1354,0.1681,0.0050
Emys_orbicularis_3,3611,1.7798,1.8604,500,0.9357,33586,10.4776,2.3014,0.0000,0.2951,0.0062,0.0357,0.2938,0.0000,5.0013,2.6408,26.9559,5.8555,0.6498,9.9630,3.2397,31.5236,0.2293,0.1932,0.3380,0.0908,51.8934,0.0000,2.0251,0.0983,0.1542,0.2887,0.0000,1.4101,0.6682,3.3765,5.3431,9.4265,0.9408,1.7056,20.4259,1.1357,0.8839,0.1332,1.7791,1.7717,1.7797,1.7781,1.7792,1.7791,1.7784,1.7792,1.7794,1.7784,1.7752,1.7641,1.7730,1.7779,1.7783,1.7788,1.7786,1.7776,1.7789,1.3321,1.1273,1.2570,0.6548,0.4663,0.6270,0.6116,0.5153,0.7092,0.4152,0.8003,0.3752,0.7218,0.5605,0.8963,1.1682,0.4497,0.7341,0.9416,8.6423,0.1021,1.0000,0.0357,0.2227,0.0000,5.0000,0.1957,0.1548,0.0102,10.0000,0.3900,0.1303,0.0515,1.3274,0.0489,0.2098,0.0000,13.8896,0.4791,0.1188,0.0997,14.9493,0.4936,0.1161,0.1160,5.4273,0.2153,0.1517,0.0114,1.3274,0.0489,0.2098,0.0000,3.5291,0.1372,0.1687,0.0047
Emys_orbicularis_4,3611,1.7734,1.8527,500,0.9354,33582,4.8129,4.1723,1.3931,0.2383,0.0153,0.0399,0.5058,0.0018,7.4727,3.0413,25.5872,5.6667,0.2225,12.3698,1.7701,31.9760,0.1389,0.4464,0.1287,0.0097,47.1218,0.0000,1.7041,0.1657,0.2027,0.3286,0.0086,1.7365,1.0931,3.0633,5.2859,9.7570,1.0143,2.5332,23.4591,1.7009,0.7883,0.0271,1.7731,1.7646,1.7731,1.7724,1.7731,1.7731,1.7724,1.7727,1.7729,1.7720,1.7693,1.7595,1.7676,1.7719,1.7714,1.7713,1.7723,1.7706,1.7733,1.3260,1.1241,1.2536,0.6427,0.4572,0.6030,0.6189,0.5100,0.6920,0.4103,0.7917,0.3687,0.7135,0.5530,0.8796,1.1667,0.4420,0.7407,0.9384,8.6490,0.1028,1.0000,0.0364,0.2249,0.0000,5.0000,0.1936,0.1558,0.0130,10.0000,0.3911,0.1312,0.0543,1.1337,0.0414,0.2192,0.0000,13.5057,0.4654,0.1205,0.0997,14.8750,0.4931,0.1170,0.1169,5.8405,0.2362,0.1499,0.0161,1.5997,0.0597,0.2036,0.0003,3.5399,0.1356,0.1699,0.0069
Emys_orbicularis_5,3611,1.7855,1.8635,500,0.9360,33571,5.2315,4.3939,0.0070,0.0903,0.0249,0.0546,1.3123,0.1039,5.0443,2.8130,27.1441,5.9829,0.1436,12.5179,1.4386,32.6444,0.3997,0.4658,0.1872,0.0921,53.4095,0.0000,1.1021,0.1484,0.1401,0.1924,0.0000,2.0512,1.9010,2.2853,4.7040,10.3239,0.5652,1.2545,19.3972,1.3445,0.6520,0.4367,1.7853,1.7767,1.7855,1.7844,1.7857,1.7852,1.7842,1.7856,1.7850,1.7840,1.7822,1.7698,1.7799,1.7841,1.7843,1.7840,1.7839,1.7834,1.7842,1.3383,1.1356,1.2636,0.6513,0.4590,0.6199,0.6107,0.5088,0.7063,0.4184,0.7974,0.3620,0.7101,0.5634,0.8940,1.1722,0.4589,0.7402,0.9514,8.6369,0.1015,1.0000,0.0349,0.2231,0.0000,5.0000,0.1938,0.1539,0.0130,10.0000,0.3883,0.1294,0.0570,1.0766,0.0375,0.2196,0.0000,13.8682,0.4828,0.1180,0.1000,15.0756,0.5024,0.1150,0.1152,5.8739,0.2353,0.1478,0.0180,1.7251,0.0638,0.1981,0.0003,3.5331,0.1348,0.1679,0.0055
Emys_orbicularis_6,3611,1.7859,1.8640,500,0.9360,33566,4.9795,2.7725,0.8370,0.0521,0.0123,0.1187,0.7575,0.1155,7.7876,3.0184,23.3996,6.2788,0.3336,13.1698,1.3252,34.2918,0.0984,0.4780,0.1735,0.2080,46.6965,0.0000,1.3788,0.1325,0.4176,0.1836,0.0493,2.5890,1.2976,2.4326,4.5057,9.7733,0.8568,1.2828,25.5882,1.7485,0.7800,0.0793,1.7855,1.7788,1.7859,1.7846,1.7859,1.7857,1.7849,1.7859,1.7853,1.7844,1.7830,1.7711,1.7807,1.7844,1.7847,1.7836,1.7845,1.7841,1.7855,1.3397,1.1219,1.2742,0.6529,0.4619,0.6313,0.6294,0.5137,0.7213,0.4241,0.7927,0.3661,0.7130,0.5780,0.8911,1.1874,0.4700,0.7356,0.9462,8.6354,0.1014,1.0000,0.0354,0.2219,0.0000,5.0000,0.1967,0.1532,0.0125,10.0000,0.3908,0.1292,0.0573,1.2937,0.0467,0.2099,0.0000,13.3473,0.4683,0.1193,0.0997,14.6603,0.4976,0.1160,0.1160,4.9052,0.1920,0.1539,0.0114,1.2937,0.0467,0.2099,0.0000,3.4874,0.1324,0.1676,0.0061
Emys_orbicularis_7,3611,1.7857,1.8661,500,0.9360,33583,4.4076,3.4926,0.0308,0.0518,0.0707,0.0649,0.5037,0.1520,5.7766,2.5429,27.5525,5.9914,0.2183,13.4487,1.5783,33.3957,0.0595,0.4638,0.1984,0.3499,55.9144,0.0000,1.6163,0.0438,0.2610,0.4229,0.0636,1.3011,1.1224,2.8787,5.9453,6.9303,1.4013,2.3724,15.4833,3.0081,0.7967,0.0885,1.7856,1.7783,1.7861,1.7843,1.7853,1.7856,1.7851,1.7858,1.7852,1.7853,1.7820,1.7687,1.7824,1.7839,1.7845,1.7849,1.7840,1.7837,1.7850,1.3337,1.1286,1.2672,0.6559,0.4753,0.6229,0.6196,0.5239,0.7024,0.4202,0.8097,0.3790,0.7141,0.5793,0.8956,1.1803,0.4723,0.7440,0.9425,8.6360,0.1015,1.0000,0.0368,0.2196,0.0000,5.0000,0.2032,0.1534,0.0075,10.0000,0.3897,0.1295,0.0579,1.2306,0.0455,0.2103,0.0000,13.5043,0.4660,0.1190,0.0994,14.6655,0.4872,0.1160,0.1158,5.1404,0.2108,0.1524,0.0080,1.6771,0.0648,0.1970,0.0003,3.4634,0.1344,0.1677,0.0053
Emys_orbicularis_8,3611,1.7853,1.8652,500,0.9361,33577,4.7681,4.6848,0.9329,0.0523,0.0100,0.0863,1.0429,0.0000,7.1189,3.0297,24.0332,5.2635,0.1363,13.7053,1.8332,31.1601,1.2172,0.5900,0.3353,0.0000,53.1791,0.0000,1.4968,0.1003,0.1832,0.2197,0.0000,1.6146,1.3521,2.7228,4.7529,9.5554,0.8588,1.6886,19.0671,2.4491,0.6952,0.0642,1.7851,1.7760,1.7855,1.7840,1.7853,1.7855,1.7846,1.7856,1.7853,1.7851,1.7818,1.7700,1.7807,1.7841,1.7834,1.7841,1.7836,1.7833,1.7855,1.3335,1.1309,1.2648,0.6511,0.4650,0.6164,0.6138,0.5123,0.7018,0.4160,0.7872,0.3742,0.7172,0.5713,0.8923,1.1761,0.4582,0.7448,0.9518,8.6360,0.1015,1.0000,0.0360,0.2211,0.0000,5.0000,0.1982,0.1535,0.0094,10.0000,0.3910,0.1294,0.0565,1.1916,0.0427,0.2130,0.0000,13.4651,0.4711,0.1191,0.1000,14.6698,0.4926,0.1160,0.1160,5.0470,0.2012,0.1531,0.0094,1.6185,0.0611,0.1995,0.0003,3.4867,0.1352,0.1677,0.0053
Emys_orbicularis_9,3611,1.7865,1.8640,500,0.9364,33567,4.7673,3.6938,3.5409,0.3820,0.0154,0.0580,0.4616,0.0000,6.0797,3.0077,27.3612,5.2847,0.3014,12.3790,1.8178,29.3937,0.5191,0.5329,0.4037,0.0000,51.6048,0.0000,1.0905,0.0638,0.1666,0.3439,0.0000,1.5685,1.3884,3.0403,5.4154,9.3589,0.9939,2.9530,19.4146,1.8179,0.6707,0.1087,1.7856,1.7765,1.7864,1.7851,1.7864,1.7861,1.7840,1.7862,1.7860,1.7848,1.7819,1.7728,1.7807,1.7853,1.7845,1.7858,1.7850,1.7839,1.7851,1.3371,1.1467,1.2632,0.6648,0.4674,0.6325,0.6217,0.5167,0.7178,0.4232,0.8114,0.3640,0.7185,0.5700,0.8941,1.1731,0.4591,0.7434,0.9634,8.6373,0.1015,1.0000,0.0352,0.2242,0.0000,5.0000,0.1949,0.1542,0.0127,10.0000,0.3874,0.1296,0.0532,1.2267,0.0425,0.2146,0.0000,13.6490,0.4700,0.1186,0.1000,14.8065,0.4879,0.1156,0.1160,5.1311,0.2000,0.1532,0.0130,1.7715,0.0649,0.1978,0.0008,3.5571,0.1353,0.1679,0.0078
