Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio_1 contribution,bio_10 contribution,bio_11 contribution,bio_12 contribution,bio_13 contribution,bio_14 contribution,bio_15 contribution,bio_16 contribution,bio_17 contribution,bio_18 contribution,bio_19 contribution,bio_2 contribution,bio_3 contribution,bio_4 contribution,bio_5 contribution,bio_6 contribution,bio_7 contribution,bio_8 contribution,bio_9 contribution,bio_1 permutation importance,bio_10 permutation importance,bio_11 permutation importance,bio_12 permutation importance,bio_13 permutation importance,bio_14 permutation importance,bio_15 permutation importance,bio_16 permutation importance,bio_17 permutation importance,bio_18 permutation importance,bio_19 permutation importance,bio_2 permutation importance,bio_3 permutation importance,bio_4 permutation importance,bio_5 permutation importance,bio_6 permutation importance,bio_7 permutation importance,bio_8 permutation importance,bio_9 permutation importance,Training gain without bio_1,Training gain without bio_10,Training gain without bio_11,Training gain without bio_12,Training gain without bio_13,Training gain without bio_14,Training gain without bio_15,Training gain without bio_16,Training gain without bio_17,Training gain without bio_18,Training gain without bio_19,Training gain without bio_2,Training gain without bio_3,Training gain without bio_4,Training gain without bio_5,Training gain without bio_6,Training gain without bio_7,Training gain without bio_8,Training gain without bio_9,Training gain with only bio_1,Training gain with only bio_10,Training gain with only bio_11,Training gain with only bio_12,Training gain with only bio_13,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_16,Training gain with only bio_17,Training gain with only bio_18,Training gain with only bio_19,Training gain with only bio_2,Training gain with only bio_3,Training gain with only bio_4,Training gain with only bio_5,Training gain with only bio_6,Training gain with only bio_7,Training gain with only bio_8,Training gain with only bio_9,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
Trachemys_scripta_scripta_0,3152,1.8685,1.9484,500,0.9435,33123,2.7392,0.1079,13.5790,0.3306,0.7552,33.2104,0.4488,0.0039,0.2136,0.8807,25.2565,0.4831,7.1312,9.9769,0.3918,2.6067,0.6229,0.3640,0.8976,45.8512,0.1110,1.4062,1.4520,2.3483,0.7262,0.4380,0.1755,9.4996,0.5725,8.9104,0.5125,5.4217,4.4652,1.2660,11.1391,0.1193,1.1470,4.4381,1.8675,1.8684,1.8675,1.8686,1.8678,1.8680,1.8655,1.8694,1.8645,1.8687,1.8633,1.8693,1.8560,1.8658,1.8669,1.8678,1.8676,1.8663,1.8625,1.2952,0.8312,1.3630,0.9471,0.7004,1.1897,0.9882,0.7645,1.1995,0.5130,1.2586,0.1719,1.1564,0.8582,0.7070,1.3014,0.5382,0.3886,1.1130,8.5422,0.0929,1.0000,0.0293,0.2210,0.0022,5.0000,0.1756,0.1449,0.0225,10.0000,0.3393,0.1182,0.0698,0.0414,0.0009,0.4466,0.0000,13.1100,0.4247,0.1082,0.0993,13.8156,0.4412,0.1063,0.1063,7.0606,0.2486,0.1314,0.0324,1.8130,0.0547,0.1902,0.0041,3.9266,0.1345,0.1548,0.0152
Trachemys_scripta_scripta_1,3152,1.8487,1.9325,500,0.9427,33139,2.0362,0.9428,15.7797,0.4279,0.7221,29.1204,0.8178,0.0506,9.8329,0.7069,20.2893,0.4037,6.8506,8.9561,0.5001,1.2134,0.0796,0.4767,0.7934,43.1187,0.2200,0.7653,1.7433,1.6406,0.8762,0.6341,1.8517,15.7033,0.9876,6.8110,0.4359,2.9822,5.5898,1.8699,10.4371,0.4151,0.8606,3.0576,1.8482,1.8493,1.8497,1.8478,1.8471,1.8496,1.8466,1.8505,1.8421,1.8491,1.8455,1.8498,1.8389,1.8474,1.8469,1.8482,1.8492,1.8470,1.8423,1.2671,0.8268,1.3329,0.9458,0.6988,1.1858,0.9685,0.7626,1.2002,0.5188,1.2459,0.1790,1.1182,0.8415,0.7093,1.2796,0.5318,0.3879,1.0962,8.5634,0.0946,1.0000,0.0273,0.2337,0.0038,5.0000,0.1604,0.1495,0.0216,10.0000,0.3317,0.1202,0.0600,0.1002,0.0020,0.4051,0.0000,13.7873,0.4355,0.1079,0.0996,14.3794,0.4495,0.1063,0.1063,7.3344,0.2414,0.1328,0.0327,1.2270,0.0340,0.2221,0.0041,4.1590,0.1326,0.1580,0.0181
Trachemys_scripta_scripta_2,3152,1.8736,1.9542,500,0.9437,33131,3.1468,0.0353,10.3914,0.4230,0.7005,31.4254,1.3791,0.3066,0.2177,0.6125,27.7998,0.4026,7.0124,10.9881,0.4689,3.1252,0.5010,0.3738,0.6898,38.7298,0.3195,0.3194,1.8818,1.4037,0.5746,0.7504,1.9150,14.7500,0.5080,8.0890,0.0178,4.9066,3.2260,1.4835,15.3713,0.8988,1.2562,3.5985,1.8706,1.8736,1.8731,1.8722,1.8730,1.8739,1.8710,1.8736,1.8684,1.8731,1.8672,1.8738,1.8600,1.8707,1.8696,1.8715,1.8735,1.8713,1.8669,1.2797,0.8342,1.3443,0.9691,0.7100,1.2081,0.9838,0.7773,1.2181,0.5215,1.2911,0.1839,1.1480,0.8622,0.7248,1.2921,0.5581,0.3896,1.1018,8.5386,0.0926,1.0000,0.0246,0.2213,0.0038,5.0000,0.1795,0.1435,0.0213,10.0000,0.3541,0.1177,0.0600,0.1033,0.0020,0.3855,0.0000,13.3896,0.4328,0.1072,0.0999,13.9475,0.4491,0.1058,0.1056,6.0368,0.2183,0.1362,0.0270,1.2282,0.0321,0.2090,0.0048,3.8187,0.1348,0.1542,0.0143
Trachemys_scripta_scripta_3,3152,1.8746,1.9519,500,0.9433,33136,3.8017,0.0205,10.9173,0.4244,0.6312,33.7875,0.9823,0.1706,0.2413,0.5220,26.0739,0.5218,6.7883,10.9773,0.4523,3.0028,0.0076,0.3727,0.3045,41.0712,0.0495,1.9350,2.0681,1.2295,0.6176,0.5075,2.9916,10.9589,0.5509,9.3960,0.3661,5.2039,5.6965,1.7126,11.4765,0.1129,0.8143,3.2413,1.8742,1.8750,1.8744,1.8748,1.8753,1.8749,1.8731,1.8745,1.8693,1.8739,1.8685,1.8751,1.8621,1.8718,1.8725,1.8728,1.8756,1.8737,1.8692,1.2823,0.8230,1.3497,0.9677,0.7086,1.2177,0.9896,0.7802,1.2235,0.5254,1.2819,0.1853,1.1420,0.8568,0.7066,1.2952,0.5454,0.3852,1.1151,8.5380,0.0926,1.0000,0.0256,0.2195,0.0048,5.0000,0.1851,0.1428,0.0228,10.0000,0.3521,0.1172,0.0631,0.0973,0.0019,0.3881,0.0000,13.8946,0.4584,0.1057,0.0996,14.5586,0.4759,0.1041,0.1044,5.4604,0.2024,0.1395,0.0251,1.1089,0.0288,0.2134,0.0048,3.7461,0.1342,0.1540,0.0140
Trachemys_scripta_scripta_4,3152,1.8553,1.9382,500,0.9430,33133,2.3216,0.0094,15.9304,0.6177,0.5931,38.6636,0.0916,0.1343,0.1921,0.6619,21.6929,0.1656,4.9935,10.7992,0.3818,1.8614,0.1584,0.3614,0.3701,48.4157,0.0638,1.6170,1.9668,1.1577,0.7133,0.3298,3.4443,12.2557,0.5833,6.3987,0.5296,4.3221,3.6225,1.5369,9.0710,0.0674,1.0672,2.8370,1.8550,1.8567,1.8563,1.8558,1.8546,1.8566,1.8534,1.8564,1.8517,1.8554,1.8527,1.8573,1.8451,1.8538,1.8531,1.8555,1.8561,1.8549,1.8498,1.2941,0.8324,1.3635,0.9554,0.6853,1.2038,0.9942,0.7547,1.2075,0.5170,1.2463,0.1779,1.1371,0.8637,0.7027,1.3062,0.5629,0.3831,1.1195,8.5557,0.0940,1.0000,0.0287,0.2281,0.0025,5.0000,0.1676,0.1480,0.0197,10.0000,0.3335,0.1198,0.0638,0.1389,0.0026,0.3622,0.0000,13.7265,0.4314,0.1077,0.0996,14.1466,0.4425,0.1065,0.1063,6.3970,0.2183,0.1377,0.0235,1.7152,0.0497,0.1991,0.0038,4.0816,0.1345,0.1568,0.0155
Trachemys_scripta_scripta_5,3152,1.8572,1.9399,500,0.9430,33139,2.4097,0.0764,13.2208,1.0014,0.2726,35.2950,0.1828,0.0000,0.2077,0.6512,24.8135,0.1628,6.7438,12.9026,0.6410,0.6761,0.2253,0.3124,0.2049,43.3825,0.1048,1.3861,1.4202,1.2399,0.3653,0.5703,0.0000,13.5082,0.7365,6.6709,0.0481,5.4625,3.3882,1.8618,14.4910,0.4429,1.2020,3.7190,1.8543,1.8557,1.8561,1.8555,1.8560,1.8568,1.8536,1.8558,1.8514,1.8545,1.8521,1.8573,1.8439,1.8535,1.8530,1.8548,1.8565,1.8560,1.8512,1.2854,0.8367,1.3519,0.9419,0.6773,1.1977,0.9828,0.7435,1.1996,0.5110,1.2454,0.1809,1.1385,0.8660,0.7205,1.2951,0.5523,0.3891,1.1050,8.5560,0.0940,1.0000,0.0273,0.2284,0.0032,5.0000,0.1684,0.1474,0.0209,10.0000,0.3360,0.1196,0.0587,0.1078,0.0020,0.3909,0.0000,13.8504,0.4387,0.1072,0.0999,14.3369,0.4503,0.1060,0.1060,7.1640,0.2456,0.1327,0.0324,1.7779,0.0502,0.1967,0.0044,4.0320,0.1326,0.1568,0.0165
Trachemys_scripta_scripta_6,3152,1.8664,1.9483,500,0.9435,33137,3.1980,0.0564,11.8968,0.4451,0.8344,32.9195,0.0600,0.1161,0.2778,0.4015,26.8228,0.1960,5.1944,11.7538,0.4468,4.6568,0.0346,0.2682,0.4212,41.3669,0.0568,1.4536,1.9134,0.9340,0.2823,0.6960,0.5262,11.9016,0.7596,9.6234,0.2280,3.9686,5.2267,1.4154,14.8592,0.3190,0.8816,3.5879,1.8623,1.8674,1.8652,1.8650,1.8653,1.8659,1.8645,1.8652,1.8603,1.8634,1.8596,1.8667,1.8548,1.8631,1.8635,1.8632,1.8660,1.8643,1.8567,1.2859,0.8387,1.3479,0.9627,0.6955,1.1912,0.9674,0.7625,1.1999,0.5150,1.2639,0.1835,1.1369,0.8686,0.7216,1.2971,0.5614,0.3912,1.1136,8.5455,0.0932,1.0000,0.0291,0.2219,0.0025,5.0000,0.1801,0.1455,0.0200,10.0000,0.3387,0.1189,0.0612,0.0610,0.0013,0.4152,0.0000,13.8374,0.4371,0.1068,0.0999,14.4096,0.4513,0.1053,0.1053,5.5912,0.1996,0.1411,0.0232,1.1107,0.0321,0.2163,0.0025,3.9280,0.1376,0.1552,0.0152
Trachemys_scripta_scripta_7,3152,1.8799,1.9592,500,0.9437,33138,2.8138,0.0370,11.6998,0.5642,0.6002,29.7194,0.8215,0.0000,9.9355,0.5506,20.4214,0.2851,6.3243,11.8010,0.5153,2.9682,0.3816,0.2527,0.3084,44.4174,0.0635,1.2137,1.2324,1.6966,0.8335,0.3683,0.0000,11.2704,0.4504,6.1631,0.2417,4.8225,4.5293,1.6697,15.9086,0.1175,1.0071,3.9943,1.8781,1.8802,1.8808,1.8793,1.8797,1.8801,1.8790,1.8813,1.8751,1.8790,1.8756,1.8799,1.8670,1.8772,1.8766,1.8789,1.8788,1.8792,1.8744,1.2873,0.8459,1.3562,0.9782,0.7081,1.2231,1.0255,0.7726,1.2321,0.5312,1.2746,0.1920,1.1613,0.8783,0.7269,1.3045,0.5641,0.3891,1.1167,8.5307,0.0920,1.0000,0.0278,0.2120,0.0032,5.0000,0.1871,0.1423,0.0168,10.0000,0.3548,0.1172,0.0622,0.1305,0.0023,0.3497,0.0000,13.1743,0.4327,0.1075,0.0999,13.7479,0.4469,0.1060,0.1053,5.7560,0.2143,0.1371,0.0190,1.0809,0.0307,0.2078,0.0032,3.7547,0.1433,0.1529,0.0136
Trachemys_scripta_scripta_8,3152,1.8753,1.9528,500,0.9434,33134,2.7738,0.0721,11.1563,0.6704,0.6467,33.9417,0.0781,0.2301,0.4185,0.7761,26.7150,0.2169,7.6722,12.2510,0.3659,1.1412,0.0922,0.4818,0.2999,27.2953,2.1151,0.6169,2.7800,0.8646,1.0205,0.3964,2.7305,9.6759,0.9356,11.9890,0.2407,5.7641,5.6459,1.4883,20.7291,0.3563,1.1537,4.2021,1.8753,1.8756,1.8766,1.8740,1.8761,1.8764,1.8755,1.8768,1.8717,1.8762,1.8692,1.8776,1.8648,1.8730,1.8735,1.8751,1.8760,1.8750,1.8696,1.2820,0.8461,1.3545,0.9624,0.6969,1.2153,0.9988,0.7621,1.2182,0.5224,1.2799,0.1889,1.1519,0.8826,0.7235,1.3024,0.5699,0.3929,1.1245,8.5348,0.0923,1.0000,0.0262,0.2146,0.0060,5.0000,0.1871,0.1430,0.0238,10.0000,0.3514,0.1174,0.0625,0.0373,0.0008,0.4589,0.0000,13.4773,0.4418,0.1067,0.0999,14.1708,0.4597,0.1050,0.1050,4.3847,0.1645,0.1479,0.0159,1.5346,0.0453,0.1916,0.0063,3.7718,0.1423,0.1536,0.0124
Trachemys_scripta_scripta_9,3152,1.8700,1.9479,500,0.9434,33131,3.0711,0.0405,11.2405,0.7783,0.4844,31.0521,0.4296,0.2663,0.2785,0.5431,28.2190,0.1839,6.1779,12.7873,0.3669,3.0917,0.3803,0.3487,0.2599,43.0565,0.6881,1.1280,2.3430,1.0319,0.9198,0.4279,1.2856,11.9225,0.5306,11.7500,0.0948,4.5266,3.3568,1.4117,10.2124,0.2510,0.9159,4.1469,1.8678,1.8712,1.8703,1.8691,1.8696,1.8706,1.8690,1.8710,1.8652,1.8692,1.8626,1.8707,1.8571,1.8666,1.8680,1.8694,1.8717,1.8692,1.8643,1.2894,0.8331,1.3568,0.9653,0.7030,1.2033,0.9922,0.7727,1.2148,0.5152,1.2905,0.1812,1.1523,0.8646,0.7118,1.3014,0.5516,0.3838,1.1109,8.5385,0.0925,1.0000,0.0264,0.2239,0.0041,5.0000,0.1715,0.1442,0.0222,10.0000,0.3429,0.1173,0.0660,0.0414,0.0009,0.4566,0.0000,13.2231,0.4335,0.1072,0.0999,13.9068,0.4508,0.1054,0.1050,5.6397,0.1964,0.1393,0.0254,1.6090,0.0445,0.1972,0.0063,3.9443,0.1323,0.1541,0.0168
