Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio_1 contribution,bio_10 contribution,bio_11 contribution,bio_12 contribution,bio_13 contribution,bio_14 contribution,bio_15 contribution,bio_16 contribution,bio_17 contribution,bio_18 contribution,bio_19 contribution,bio_2 contribution,bio_3 contribution,bio_4 contribution,bio_5 contribution,bio_6 contribution,bio_7 contribution,bio_8 contribution,bio_9 contribution,bio_1 permutation importance,bio_10 permutation importance,bio_11 permutation importance,bio_12 permutation importance,bio_13 permutation importance,bio_14 permutation importance,bio_15 permutation importance,bio_16 permutation importance,bio_17 permutation importance,bio_18 permutation importance,bio_19 permutation importance,bio_2 permutation importance,bio_3 permutation importance,bio_4 permutation importance,bio_5 permutation importance,bio_6 permutation importance,bio_7 permutation importance,bio_8 permutation importance,bio_9 permutation importance,Training gain without bio_1,Training gain without bio_10,Training gain without bio_11,Training gain without bio_12,Training gain without bio_13,Training gain without bio_14,Training gain without bio_15,Training gain without bio_16,Training gain without bio_17,Training gain without bio_18,Training gain without bio_19,Training gain without bio_2,Training gain without bio_3,Training gain without bio_4,Training gain without bio_5,Training gain without bio_6,Training gain without bio_7,Training gain without bio_8,Training gain without bio_9,Training gain with only bio_1,Training gain with only bio_10,Training gain with only bio_11,Training gain with only bio_12,Training gain with only bio_13,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_16,Training gain with only bio_17,Training gain with only bio_18,Training gain with only bio_19,Training gain with only bio_2,Training gain with only bio_3,Training gain with only bio_4,Training gain with only bio_5,Training gain with only bio_6,Training gain with only bio_7,Training gain with only bio_8,Training gain with only bio_9,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
Trachemys_scripta_scripta_0,1641,2.3842,2.4862,500,0.9675,31627,0.7895,2.9877,0.5026,0.2742,0.3993,27.5397,0.0793,0.0202,24.9532,0.7442,10.9894,2.6793,1.2624,12.5181,12.2864,0.8795,0.0083,0.4405,0.6460,0.0000,52.6151,0.0000,1.6192,1.5729,0.3701,0.4242,0.0785,22.0656,2.5895,4.4251,1.1569,1.6276,3.5819,6.5165,0.3264,0.0000,0.1750,0.8555,2.3831,2.3715,2.3804,2.3815,2.3821,2.3806,2.3792,2.3845,2.3711,2.3767,2.3775,2.3735,2.3721,2.3779,2.3726,2.3851,2.3833,2.3821,2.3788,1.4497,1.1400,1.4052,1.3804,1.1396,1.6272,0.9298,1.1817,1.6549,0.9921,1.6207,0.5969,1.2111,0.7993,1.2036,1.2676,0.4890,0.6489,1.1766,7.9823,0.0544,1.0000,0.0150,0.1779,0.0030,5.0000,0.1042,0.0942,0.0311,10.0000,0.2523,0.0685,0.0609,0.0887,0.0009,0.3671,0.0000,14.4943,0.4282,0.0585,0.0999,10.7478,0.2815,0.0663,0.0664,3.9147,0.0783,0.1049,0.0177,1.2993,0.0204,0.1623,0.0037,5.2042,0.1096,0.0926,0.0335
Trachemys_scripta_scripta_1,1641,2.4006,2.5023,500,0.9678,31626,0.6622,0.7971,0.0206,0.2868,0.0965,24.9934,0.0511,0.3377,30.9150,0.6962,7.6972,0.3842,3.9667,12.1360,13.4933,0.7247,1.2541,0.3701,1.1172,0.0000,48.6321,0.3444,1.5495,2.2313,0.3728,0.2388,0.0837,24.8568,1.7792,4.7699,0.5847,1.5487,5.6646,4.8938,0.3610,0.0146,0.2383,1.8356,2.4010,2.3895,2.4021,2.4019,2.4006,2.4034,2.3992,2.4030,2.3929,2.3991,2.3935,2.3965,2.3950,2.3977,2.3889,2.4018,2.4033,2.4015,2.3918,1.4532,1.1446,1.4155,1.4135,1.1523,1.6584,1.0188,1.1983,1.6968,1.0402,1.6410,0.6130,1.2238,0.8067,1.2147,1.2802,0.4994,0.6272,1.2060,7.9773,0.0542,1.0000,0.0146,0.1759,0.0024,5.0000,0.1103,0.0925,0.0293,10.0000,0.2585,0.0679,0.0542,0.1421,0.0015,0.3234,0.0000,14.9389,0.4602,0.0574,0.0999,11.3016,0.3135,0.0643,0.0640,6.6768,0.1567,0.0816,0.0347,1.1292,0.0167,0.1683,0.0024,5.0409,0.1118,0.0921,0.0293
Trachemys_scripta_scripta_2,1641,2.3866,2.4853,500,0.9671,31626,0.0478,1.8391,0.0322,0.2262,0.4108,11.9130,0.5384,0.6087,43.4108,1.2753,7.5940,0.1430,3.8915,11.1474,11.1475,0.0087,3.2195,0.9560,1.5902,0.0000,48.5736,0.1152,1.2324,1.4762,0.9745,0.6094,0.0491,29.7772,1.0209,7.1212,0.3020,1.0724,2.9632,2.9253,0.2564,0.0569,0.2336,1.2404,2.3861,2.3750,2.3853,2.3857,2.3862,2.3840,2.3818,2.3824,2.3766,2.3824,2.3769,2.3846,2.3761,2.3819,2.3779,2.3846,2.3832,2.3831,2.3783,1.4575,1.1217,1.4212,1.3775,1.1505,1.6183,0.9763,1.1963,1.6619,0.9773,1.6410,0.5948,1.1982,0.7899,1.1745,1.2869,0.4987,0.6161,1.1768,7.9845,0.0546,1.0000,0.0137,0.1787,0.0037,5.0000,0.1149,0.0915,0.0286,10.0000,0.2715,0.0687,0.0542,0.0468,0.0006,0.4205,0.0000,14.8079,0.4469,0.0584,0.0999,11.3770,0.3199,0.0651,0.0658,6.1424,0.1526,0.0840,0.0311,1.2523,0.0176,0.1639,0.0037,4.8348,0.1097,0.0928,0.0280
Trachemys_scripta_scripta_3,1641,2.3924,2.4897,500,0.9673,31629,0.0047,2.2703,0.0013,0.1931,0.4350,21.7654,0.0423,0.4362,32.4591,0.8166,8.1754,1.4171,2.9546,11.6932,13.8990,0.5384,1.7243,0.5621,0.6119,0.0000,48.6165,0.0000,1.8345,2.9846,0.8581,0.4555,0.0538,15.0299,1.3335,9.0985,0.8784,2.3560,7.5740,6.5444,1.1355,0.0045,0.2634,0.9788,2.3955,2.3783,2.3930,2.3921,2.3944,2.3896,2.3915,2.3929,2.3850,2.3887,2.3859,2.3869,2.3843,2.3887,2.3794,2.3942,2.3935,2.3908,2.3870,1.4163,1.1272,1.3731,1.3797,1.1377,1.6281,0.9859,1.1865,1.6553,0.9941,1.6039,0.6138,1.1893,0.7686,1.1969,1.2416,0.4731,0.6106,1.1632,7.9776,0.0543,1.0000,0.0154,0.1693,0.0030,5.0000,0.1155,0.0912,0.0353,10.0000,0.2745,0.0679,0.0579,0.3566,0.0045,0.2378,0.0000,15.1487,0.4753,0.0575,0.0999,11.0360,0.3157,0.0652,0.0652,4.6419,0.1063,0.0940,0.0274,1.1824,0.0190,0.1595,0.0030,4.8762,0.1125,0.0921,0.0335
Trachemys_scripta_scripta_4,1641,2.4143,2.5053,500,0.9677,31632,1.3991,2.4452,0.0102,0.2139,0.3519,20.0081,0.0417,0.2721,27.2806,0.8632,16.4939,0.4426,2.6619,14.0576,12.1984,0.0054,0.0207,0.3605,0.8730,0.0016,52.7287,0.1589,1.7491,2.4549,0.0916,0.1586,0.1286,11.1098,1.2069,9.9190,1.0266,2.4985,7.0197,7.8175,0.3940,0.0002,0.2761,1.2597,2.4157,2.4009,2.4128,2.4124,2.4108,2.4110,2.4126,2.4127,2.4101,2.4112,2.4010,2.4086,2.4038,2.4092,2.3962,2.4137,2.4139,2.4138,2.4084,1.4587,1.1443,1.4178,1.3860,1.1548,1.6309,0.9408,1.1992,1.6592,1.0037,1.6708,0.6241,1.2285,0.8196,1.2159,1.2774,0.5112,0.6408,1.1896,7.9573,0.0533,1.0000,0.0144,0.1669,0.0030,5.0000,0.1195,0.0879,0.0317,10.0000,0.2906,0.0666,0.0555,0.0862,0.0008,0.3651,0.0000,15.0976,0.4893,0.0569,0.0999,10.8614,0.3149,0.0645,0.0658,8.6074,0.2384,0.0708,0.0433,1.0591,0.0157,0.1633,0.0030,4.6855,0.1089,0.0903,0.0299
Trachemys_scripta_scripta_5,1641,2.3950,2.5008,500,0.9677,31628,0.9620,1.1040,4.0903,0.3324,0.3266,30.6670,0.0688,0.5678,23.1874,1.4081,9.4895,0.0810,3.6320,10.4999,9.0048,0.5157,2.1193,0.9947,0.9487,0.0347,48.6912,0.0008,1.1300,3.0234,0.0066,0.4684,0.0331,22.8687,2.0803,3.3387,0.3753,1.6580,5.7966,5.8607,3.0866,0.0048,0.1808,1.3612,2.3957,2.3824,2.3939,2.3958,2.3925,2.3961,2.3910,2.3947,2.3867,2.3911,2.3926,2.3923,2.3833,2.3920,2.3821,2.3937,2.3992,2.3940,2.3884,1.4573,1.1394,1.4166,1.3876,1.1547,1.6522,1.0157,1.2009,1.6796,1.0149,1.6361,0.5942,1.1993,0.7928,1.2080,1.2842,0.4972,0.6011,1.1758,7.9787,0.0543,1.0000,0.0152,0.1714,0.0018,5.0000,0.1104,0.0918,0.0317,10.0000,0.2661,0.0681,0.0542,0.0457,0.0006,0.3988,0.0000,15.3473,0.4717,0.0572,0.0999,11.5771,0.3381,0.0640,0.0646,6.5448,0.1569,0.0818,0.0372,1.3048,0.0211,0.1558,0.0018,4.9496,0.1088,0.0923,0.0317
Trachemys_scripta_scripta_6,1641,2.3907,2.4950,500,0.9675,31627,0.6838,2.6096,0.0142,0.4834,0.8364,8.6004,0.0297,0.0130,45.6797,0.8364,7.6054,0.1975,3.4439,11.8922,14.3120,0.0997,1.7727,0.3082,0.5817,0.0073,51.8569,0.0000,0.9217,4.1471,0.5185,0.1511,0.0082,26.6437,1.4488,3.6878,0.3812,0.9900,5.7414,2.6186,0.1253,0.0131,0.1853,0.5539,2.3893,2.3741,2.3910,2.3912,2.3898,2.3907,2.3902,2.3903,2.3764,2.3815,2.3832,2.3865,2.3796,2.3845,2.3807,2.3912,2.3915,2.3885,2.3832,1.4351,1.1370,1.3984,1.3678,1.1210,1.6071,0.9734,1.1684,1.6525,0.9761,1.5934,0.5679,1.2020,0.7947,1.1992,1.2605,0.4818,0.6103,1.1702,7.9795,0.0544,1.0000,0.0157,0.1696,0.0037,5.0000,0.1148,0.0913,0.0280,10.0000,0.2721,0.0684,0.0567,0.4024,0.0053,0.2277,0.0000,14.3760,0.4398,0.0589,0.0999,11.4390,0.3217,0.0646,0.0652,6.6709,0.1681,0.0811,0.0366,1.6479,0.0286,0.1420,0.0055,4.8728,0.1113,0.0923,0.0280
Trachemys_scripta_scripta_7,1641,2.3831,2.4897,500,0.9676,31628,0.0025,1.3335,0.0666,0.3302,0.4135,21.9702,0.1121,0.2161,33.0798,1.0338,7.3426,0.5826,3.5677,11.6643,14.1626,0.3839,1.9626,0.6812,1.0942,0.0000,54.8679,0.0658,0.8999,2.2976,0.4126,0.2124,0.0603,19.8183,1.0702,6.7618,0.6744,1.2543,5.5234,4.1706,0.3415,0.0699,0.3058,1.1933,2.3837,2.3722,2.3843,2.3842,2.3847,2.3834,2.3832,2.3812,2.3733,2.3780,2.3754,2.3760,2.3748,2.3803,2.3709,2.3840,2.3845,2.3821,2.3796,1.4298,1.1265,1.3891,1.3727,1.1219,1.6174,0.9628,1.1750,1.6572,0.9964,1.6107,0.5730,1.1821,0.7821,1.1982,1.2560,0.4785,0.6103,1.1638,7.9900,0.0549,1.0000,0.0157,0.1747,0.0024,5.0000,0.1102,0.0931,0.0299,10.0000,0.2644,0.0693,0.0579,0.4274,0.0059,0.2279,0.0000,14.7260,0.4377,0.0589,0.0993,11.2918,0.3121,0.0658,0.0658,8.3419,0.2176,0.0749,0.0439,1.4712,0.0241,0.1526,0.0030,4.9772,0.1099,0.0933,0.0299
Trachemys_scripta_scripta_8,1641,2.4034,2.5018,500,0.9678,31624,1.3150,2.9478,0.0612,0.2378,0.2202,14.9292,0.0282,0.2270,40.9013,0.8909,7.4056,1.4801,1.6548,12.8305,11.6694,0.0046,1.8756,0.5146,0.8063,0.0002,54.3603,0.1728,0.7758,0.4049,1.0219,0.3009,0.7367,22.3310,1.9331,3.5065,0.7919,1.9300,5.2700,4.9813,0.1217,0.0433,0.2151,1.1028,2.4039,2.3895,2.4035,2.4047,2.4024,2.4014,2.4019,2.4004,2.3936,2.3988,2.3952,2.3968,2.3922,2.3984,2.3916,2.4031,2.4049,2.4014,2.3956,1.4567,1.1566,1.4179,1.4254,1.1732,1.6711,1.0031,1.2172,1.7047,1.0510,1.6424,0.6274,1.2298,0.8059,1.2209,1.2856,0.5054,0.6517,1.2104,7.9631,0.0535,1.0000,0.0149,0.1721,0.0043,5.0000,0.1125,0.0901,0.0286,10.0000,0.2639,0.0668,0.0628,0.0573,0.0007,0.3983,0.0000,14.2069,0.4451,0.0578,0.0981,10.3335,0.2726,0.0658,0.0658,5.0451,0.1139,0.0898,0.0286,1.6362,0.0262,0.1432,0.0049,4.9131,0.1096,0.0908,0.0286
Trachemys_scripta_scripta_9,1641,2.3632,2.4752,500,0.9672,31627,0.0000,2.6538,0.9042,0.2602,0.4425,24.9524,0.1059,0.0299,27.3885,1.0260,11.5898,2.4471,0.7890,11.9478,13.0973,0.8531,0.0367,0.6366,0.8392,0.0000,44.3353,0.7868,1.6031,1.0763,0.2678,0.5738,0.4265,31.8616,2.3549,5.2068,0.8326,1.9948,0.9526,4.5155,1.0244,0.0207,0.4957,1.6709,2.3635,2.3539,2.3655,2.3624,2.3628,2.3625,2.3590,2.3657,2.3547,2.3602,2.3575,2.3577,2.3508,2.3589,2.3528,2.3619,2.3643,2.3601,2.3556,1.4638,1.1185,1.4185,1.3613,1.1484,1.6020,0.9615,1.1897,1.6382,0.9750,1.6101,0.5935,1.1848,0.7807,1.1754,1.2865,0.4954,0.6062,1.1732,8.0091,0.0557,1.0000,0.0151,0.1878,0.0024,5.0000,0.0991,0.0980,0.0305,10.0000,0.2421,0.0709,0.0555,0.6040,0.0087,0.2199,0.0000,15.4672,0.4492,0.0582,0.0999,11.4846,0.3022,0.0664,0.0664,5.9122,0.1250,0.0908,0.0317,1.4001,0.0217,0.1672,0.0043,5.3434,0.1093,0.0951,0.0305
