Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio_1 contribution,bio_10 contribution,bio_11 contribution,bio_12 contribution,bio_13 contribution,bio_14 contribution,bio_15 contribution,bio_16 contribution,bio_17 contribution,bio_18 contribution,bio_19 contribution,bio_2 contribution,bio_3 contribution,bio_4 contribution,bio_5 contribution,bio_6 contribution,bio_7 contribution,bio_8 contribution,bio_9 contribution,bio_1 permutation importance,bio_10 permutation importance,bio_11 permutation importance,bio_12 permutation importance,bio_13 permutation importance,bio_14 permutation importance,bio_15 permutation importance,bio_16 permutation importance,bio_17 permutation importance,bio_18 permutation importance,bio_19 permutation importance,bio_2 permutation importance,bio_3 permutation importance,bio_4 permutation importance,bio_5 permutation importance,bio_6 permutation importance,bio_7 permutation importance,bio_8 permutation importance,bio_9 permutation importance,Training gain without bio_1,Training gain without bio_10,Training gain without bio_11,Training gain without bio_12,Training gain without bio_13,Training gain without bio_14,Training gain without bio_15,Training gain without bio_16,Training gain without bio_17,Training gain without bio_18,Training gain without bio_19,Training gain without bio_2,Training gain without bio_3,Training gain without bio_4,Training gain without bio_5,Training gain without bio_6,Training gain without bio_7,Training gain without bio_8,Training gain without bio_9,Training gain with only bio_1,Training gain with only bio_10,Training gain with only bio_11,Training gain with only bio_12,Training gain with only bio_13,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_16,Training gain with only bio_17,Training gain with only bio_18,Training gain with only bio_19,Training gain with only bio_2,Training gain with only bio_3,Training gain with only bio_4,Training gain with only bio_5,Training gain with only bio_6,Training gain with only bio_7,Training gain with only bio_8,Training gain with only bio_9,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
Trachemys_scripta_scripta_0,1514,2.5323,2.6262,500,0.9708,31500,0.0103,1.7509,2.9690,0.7361,0.1949,56.4503,0.0742,0.1407,6.8073,0.4882,2.2402,4.3749,0.7355,9.7540,5.7344,4.3506,0.3909,1.4112,1.3865,0.0000,43.8896,0.1002,2.1618,0.3746,5.4588,0.9842,0.3718,0.5834,0.3760,25.5225,0.5435,2.7295,8.7490,2.7141,1.9759,0.0000,0.3709,3.0942,2.5303,2.5220,2.5307,2.5323,2.5291,2.5293,2.5279,2.5329,2.5293,2.5285,2.5199,2.5305,2.5272,2.5246,2.5245,2.5307,2.5304,2.5287,2.5163,1.4751,1.2049,1.4250,1.5789,1.2693,1.8533,1.0225,1.3172,1.8782,1.2099,1.7320,0.6791,1.2307,0.7868,1.2892,1.2852,0.4934,0.7074,1.2755,7.8347,0.0470,1.0000,0.0113,0.1717,0.0053,5.0000,0.0922,0.0784,0.0357,10.0000,0.2945,0.0569,0.0561,0.1096,0.0010,0.3582,0.0000,14.0958,0.4882,0.0502,0.0997,10.1855,0.3061,0.0565,0.0568,7.7553,0.1992,0.0634,0.0443,1.4034,0.0171,0.1487,0.0059,4.7938,0.0866,0.0802,0.0350
Trachemys_scripta_scripta_1,1514,2.5289,2.6271,500,0.9710,31504,0.0965,0.2458,3.9779,1.2167,0.2123,55.4900,0.1207,0.0720,6.9557,1.8870,3.3868,2.3567,2.3140,10.0519,9.4371,0.1016,0.4775,0.1759,1.4239,1.0048,6.5015,0.0583,2.8870,0.4616,3.6607,0.8536,0.4436,1.2737,0.6272,32.3726,0.9799,2.3248,10.0467,27.2617,2.9839,0.2008,0.4635,5.5941,2.5274,2.5237,2.5309,2.5256,2.5276,2.5296,2.5260,2.5297,2.5298,2.5272,2.5196,2.5279,2.5261,2.5264,2.5246,2.5315,2.5322,2.5321,2.5176,1.4744,1.2082,1.4243,1.5928,1.2740,1.8552,0.9985,1.3273,1.8799,1.2148,1.7545,0.6929,1.2333,0.7863,1.3147,1.2884,0.4968,0.7212,1.2648,7.8325,0.0469,1.0000,0.0115,0.1702,0.0040,5.0000,0.0902,0.0782,0.0350,10.0000,0.3007,0.0568,0.0568,0.3186,0.0030,0.2613,0.0000,13.6349,0.4732,0.0508,0.0997,10.0002,0.3007,0.0568,0.0568,7.8039,0.2015,0.0630,0.0443,1.4218,0.0172,0.1465,0.0046,4.7956,0.0854,0.0800,0.0343
Trachemys_scripta_scripta_2,1514,2.5222,2.6135,500,0.9704,31506,1.8222,0.1784,0.0773,0.1164,0.1463,49.9744,0.0261,0.3713,11.7393,0.7877,3.9616,0.6658,1.5626,12.7916,13.1216,0.1426,0.5911,0.9966,0.9271,0.2524,24.1097,0.0000,2.3909,1.0069,5.6957,0.5677,0.4579,0.1448,0.6898,32.9235,1.3553,2.0267,10.1654,9.0367,3.1020,0.3182,0.4283,5.3280,2.5227,2.5137,2.5237,2.5220,2.5225,2.5221,2.5218,2.5241,2.5234,2.5197,2.5122,2.5182,2.5206,2.5191,2.5141,2.5236,2.5240,2.5192,2.5097,1.4926,1.2178,1.4413,1.5652,1.2734,1.8276,1.0379,1.3295,1.8468,1.2053,1.7391,0.6968,1.2175,0.7895,1.3108,1.3045,0.5025,0.7051,1.2490,7.8409,0.0473,1.0000,0.0104,0.1742,0.0059,5.0000,0.0961,0.0792,0.0357,10.0000,0.2931,0.0574,0.0542,0.0610,0.0006,0.4265,0.0000,13.5764,0.4555,0.0511,0.0997,10.1664,0.2973,0.0570,0.0568,5.9286,0.1249,0.0727,0.0357,1.2804,0.0142,0.1557,0.0073,4.8185,0.0896,0.0807,0.0343
Trachemys_scripta_scripta_3,1514,2.4866,2.5979,500,0.9704,31497,0.0343,1.8710,0.0000,0.6638,0.0369,54.7888,0.4843,0.5670,6.9671,1.7535,2.7680,0.5052,4.5976,11.9276,10.9760,0.5769,0.2251,0.3224,0.9344,26.0336,10.2858,0.0000,1.8318,0.2396,4.3058,1.1118,0.4078,1.8615,0.9169,28.1912,0.9092,0.9159,9.7658,2.7799,1.9578,0.2537,0.4235,7.8085,2.4873,2.4764,2.4852,2.4831,2.4841,2.4856,2.4813,2.4880,2.4842,2.4826,2.4737,2.4812,2.4779,2.4815,2.4811,2.4838,2.4844,2.4849,2.4656,1.4735,1.1535,1.4343,1.5198,1.2103,1.7955,1.0264,1.2697,1.8191,1.1302,1.7122,0.6622,1.2037,0.7740,1.2372,1.3010,0.4874,0.6687,1.2626,7.8767,0.0487,1.0000,0.0122,0.1838,0.0046,5.0000,0.0850,0.0886,0.0310,10.0000,0.2356,0.0607,0.0528,0.2256,0.0023,0.2987,0.0000,14.5007,0.4507,0.0511,0.0997,10.5792,0.2556,0.0590,0.0594,8.5365,0.1830,0.0660,0.0469,1.5982,0.0208,0.1527,0.0059,5.5629,0.0976,0.0837,0.0343
Trachemys_scripta_scripta_4,1514,2.5082,2.6124,500,0.9707,31501,0.0134,0.0907,3.4249,0.3084,0.0822,55.4921,0.4296,0.2984,6.5934,0.8664,3.0047,3.5418,0.5296,10.3006,10.0569,3.3174,0.4013,0.5311,0.7171,0.0307,43.7140,0.2694,3.5333,0.0528,8.2443,0.6117,1.9623,0.2342,0.3924,24.8463,1.0362,0.8865,4.6545,0.9702,5.5923,0.0169,0.3376,2.6143,2.5078,2.4999,2.5090,2.5072,2.5077,2.5035,2.5048,2.5086,2.5062,2.5079,2.4966,2.5007,2.5044,2.5054,2.5063,2.5080,2.5074,2.5085,2.4964,1.4673,1.1868,1.4236,1.5360,1.2190,1.8264,1.0561,1.2738,1.8482,1.1721,1.7085,0.6725,1.2134,0.7809,1.2792,1.2973,0.4987,0.6832,1.2438,7.8549,0.0479,1.0000,0.0122,0.1724,0.0033,5.0000,0.0899,0.0819,0.0330,10.0000,0.2757,0.0587,0.0555,0.4558,0.0048,0.2298,0.0000,14.3158,0.4742,0.0510,0.0997,10.1539,0.2817,0.0583,0.0575,6.0635,0.1251,0.0740,0.0363,0.9952,0.0122,0.1728,0.0026,5.0062,0.0901,0.0818,0.0330
Trachemys_scripta_scripta_5,1514,2.5084,2.6121,500,0.9708,31504,0.9399,1.2634,2.5086,0.3876,0.2130,55.5421,0.0748,0.2129,3.9101,1.4775,6.6038,0.7586,0.8139,10.3511,8.1360,3.1192,1.8492,0.9775,0.8606,23.7650,18.4675,0.0000,2.5941,0.1433,7.9045,0.5113,1.1573,0.4612,0.9234,27.2554,1.6990,0.3195,8.0187,2.5120,0.7503,0.3403,0.4554,2.7219,2.5099,2.5008,2.5081,2.5096,2.5073,2.5039,2.5041,2.5094,2.5099,2.5060,2.4936,2.5021,2.5072,2.5066,2.5043,2.5095,2.5095,2.5086,2.4966,1.4611,1.1691,1.4137,1.5280,1.2292,1.8282,1.0262,1.2883,1.8498,1.1559,1.7327,0.6695,1.1779,0.7589,1.2510,1.2801,0.4814,0.6767,1.2134,7.8541,0.0478,1.0000,0.0109,0.1764,0.0033,5.0000,0.0928,0.0821,0.0324,10.0000,0.2690,0.0587,0.0568,0.3973,0.0037,0.2519,0.0000,14.1857,0.4687,0.0510,0.0997,10.0131,0.2704,0.0587,0.0594,6.3476,0.1316,0.0727,0.0370,1.4910,0.0177,0.1479,0.0033,5.0408,0.0942,0.0818,0.0324
Trachemys_scripta_scripta_6,1514,2.5135,2.6145,500,0.9705,31505,0.0000,0.1792,0.7257,0.8050,0.0130,56.0598,0.0738,0.2319,6.5441,1.1131,3.5702,2.0612,1.0096,10.2172,13.6033,0.4332,1.9638,0.7532,0.6426,0.0000,14.0989,0.7242,2.9606,0.2547,13.0518,1.2703,4.8131,1.0736,1.4318,25.7282,2.4332,0.9104,2.7771,13.6650,12.2467,0.0208,0.6057,1.9339,2.5146,2.5062,2.5156,2.5122,2.5138,2.5101,2.5094,2.5137,2.5143,2.5126,2.5015,2.5086,2.5100,2.5110,2.5045,2.5146,2.5156,2.5129,2.5021,1.4776,1.2050,1.4302,1.5636,1.2347,1.8339,1.0167,1.2949,1.8539,1.1955,1.7277,0.6930,1.2198,0.7953,1.3062,1.2990,0.5100,0.6939,1.2507,7.8491,0.0477,1.0000,0.0115,0.1734,0.0040,5.0000,0.0898,0.0807,0.0350,10.0000,0.2891,0.0578,0.0588,0.3228,0.0033,0.2593,0.0000,14.0881,0.4834,0.0508,0.0991,9.9353,0.2876,0.0580,0.0581,8.4572,0.2147,0.0622,0.0443,1.3362,0.0167,0.1538,0.0053,4.9260,0.0881,0.0814,0.0343
Trachemys_scripta_scripta_7,1514,2.5379,2.6353,500,0.9712,31502,2.7805,0.1096,0.3641,0.6087,0.0258,55.6150,0.0677,0.2731,3.7965,1.5590,6.3507,2.6996,0.3074,12.6031,9.7849,1.4110,0.4592,0.0998,1.0844,9.0258,7.0535,0.0000,3.4939,0.2564,5.5640,1.3124,2.9855,4.1052,3.0190,27.7708,0.8491,0.9044,11.5306,9.8861,5.2903,0.0977,0.5138,6.3414,2.5426,2.5351,2.5409,2.5391,2.5395,2.5348,2.5356,2.5387,2.5421,2.5381,2.5291,2.5392,2.5381,2.5361,2.5376,2.5400,2.5435,2.5420,2.5232,1.5007,1.2060,1.4550,1.5831,1.2682,1.8633,1.0270,1.3222,1.8869,1.1976,1.7931,0.6969,1.2200,0.7999,1.3016,1.3217,0.5193,0.7127,1.2904,7.8228,0.0466,1.0000,0.0115,0.1612,0.0040,5.0000,0.1009,0.0769,0.0317,10.0000,0.2980,0.0566,0.0575,0.5876,0.0061,0.1999,0.0000,13.7605,0.4803,0.0505,0.0991,9.7717,0.2890,0.0571,0.0568,7.0306,0.1748,0.0657,0.0383,1.0692,0.0126,0.1566,0.0040,4.7060,0.0918,0.0792,0.0317
Trachemys_scripta_scripta_8,1514,2.5010,2.6060,500,0.9707,31497,0.0219,0.1469,1.2321,0.5229,0.0978,60.2375,0.0966,0.1380,3.1103,0.8879,3.9148,2.5287,1.3071,11.8037,10.0194,0.6134,0.5053,1.3546,1.4610,14.4072,5.6413,0.4853,1.5582,0.2337,18.5771,1.8673,0.0000,0.6590,2.0280,25.6185,1.4141,0.7235,5.6539,10.3489,4.5677,0.0685,1.0204,5.1273,2.5034,2.4983,2.5044,2.5026,2.5043,2.5009,2.4972,2.5053,2.5035,2.5038,2.4913,2.4988,2.4981,2.5008,2.5015,2.4992,2.5062,2.5031,2.4933,1.4701,1.1692,1.4270,1.5656,1.2524,1.8463,1.0304,1.3045,1.8587,1.1755,1.7081,0.6579,1.1729,0.7703,1.2494,1.3027,0.5036,0.6996,1.2548,7.8611,0.0481,1.0000,0.0114,0.1815,0.0046,5.0000,0.0916,0.0838,0.0284,10.0000,0.2546,0.0595,0.0614,0.3722,0.0040,0.2555,0.0000,14.2215,0.4524,0.0510,0.0997,9.6897,0.2450,0.0604,0.0608,4.3605,0.0761,0.0898,0.0198,1.9335,0.0240,0.1361,0.0066,5.1698,0.0965,0.0824,0.0297
Trachemys_scripta_scripta_9,1514,2.4986,2.6029,500,0.9706,31502,0.0389,0.1236,0.4456,0.4609,0.3168,47.8189,0.0788,0.0107,5.5959,1.5429,11.2503,1.1418,2.3857,11.7252,13.7377,0.2734,1.1553,0.9819,0.9157,3.4777,7.2590,0.4305,4.0012,1.1304,5.4105,0.8489,0.4996,0.9385,0.9829,37.4353,1.3695,1.6304,8.9592,17.2127,2.2083,0.1354,0.8140,5.2562,2.5006,2.4932,2.4973,2.4966,2.5003,2.4992,2.4944,2.4981,2.4996,2.4947,2.4882,2.4957,2.4962,2.4935,2.4947,2.5004,2.5008,2.4974,2.4867,1.4671,1.1727,1.4168,1.5135,1.2152,1.7838,0.9848,1.2703,1.8077,1.1450,1.7155,0.6694,1.2034,0.7693,1.2627,1.2777,0.4774,0.6815,1.2222,7.8651,0.0484,1.0000,0.0114,0.1768,0.0046,5.0000,0.0887,0.0836,0.0343,10.0000,0.2721,0.0593,0.0594,0.4819,0.0048,0.2341,0.0000,14.4444,0.4708,0.0511,0.0997,9.9349,0.2693,0.0595,0.0594,8.5972,0.2149,0.0634,0.0515,1.1689,0.0138,0.1658,0.0046,5.1092,0.0912,0.0827,0.0370
