Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio_1 contribution,bio_10 contribution,bio_11 contribution,bio_12 contribution,bio_13 contribution,bio_14 contribution,bio_15 contribution,bio_16 contribution,bio_17 contribution,bio_18 contribution,bio_19 contribution,bio_2 contribution,bio_3 contribution,bio_4 contribution,bio_5 contribution,bio_6 contribution,bio_7 contribution,bio_8 contribution,bio_9 contribution,bio_1 permutation importance,bio_10 permutation importance,bio_11 permutation importance,bio_12 permutation importance,bio_13 permutation importance,bio_14 permutation importance,bio_15 permutation importance,bio_16 permutation importance,bio_17 permutation importance,bio_18 permutation importance,bio_19 permutation importance,bio_2 permutation importance,bio_3 permutation importance,bio_4 permutation importance,bio_5 permutation importance,bio_6 permutation importance,bio_7 permutation importance,bio_8 permutation importance,bio_9 permutation importance,Training gain without bio_1,Training gain without bio_10,Training gain without bio_11,Training gain without bio_12,Training gain without bio_13,Training gain without bio_14,Training gain without bio_15,Training gain without bio_16,Training gain without bio_17,Training gain without bio_18,Training gain without bio_19,Training gain without bio_2,Training gain without bio_3,Training gain without bio_4,Training gain without bio_5,Training gain without bio_6,Training gain without bio_7,Training gain without bio_8,Training gain without bio_9,Training gain with only bio_1,Training gain with only bio_10,Training gain with only bio_11,Training gain with only bio_12,Training gain with only bio_13,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_16,Training gain with only bio_17,Training gain with only bio_18,Training gain with only bio_19,Training gain with only bio_2,Training gain with only bio_3,Training gain with only bio_4,Training gain with only bio_5,Training gain with only bio_6,Training gain with only bio_7,Training gain with only bio_8,Training gain with only bio_9,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
Emys_orbicularis_0,3611,1.7778,1.8555,500,0.9356,33580,3.1807,3.7458,7.7424,0.0324,0.0006,0.2498,0.0807,0.1625,10.5052,3.4524,21.5550,6.3365,0.1730,12.6107,1.6946,27.3042,0.1597,0.7115,0.3023,0.2856,51.9917,0.0000,1.4709,0.0049,0.2386,0.3486,0.1011,1.0747,0.6314,4.1851,5.6631,6.9075,2.0906,2.8385,19.9214,1.5009,0.6978,0.0477,1.7775,1.7685,1.7774,1.7762,1.7775,1.7772,1.7765,1.7777,1.7774,1.7769,1.7729,1.7624,1.7742,1.7750,1.7758,1.7764,1.7769,1.7749,1.7779,1.3348,1.1198,1.2626,0.6475,0.4664,0.6304,0.6198,0.5133,0.7068,0.4186,0.7888,0.3579,0.7168,0.5625,0.8869,1.1684,0.4425,0.7362,0.9403,8.6433,0.1022,1.0000,0.0373,0.2240,0.0000,5.0000,0.2025,0.1549,0.0116,10.0000,0.3854,0.1307,0.0584,1.4729,0.0538,0.2066,0.0000,13.2673,0.4610,0.1206,0.0997,14.6954,0.4850,0.1169,0.1169,5.5048,0.2249,0.1514,0.0136,1.4729,0.0538,0.2066,0.0000,3.5178,0.1319,0.1689,0.0069
Emys_orbicularis_1,3611,1.7885,1.8657,500,0.9361,33582,4.9859,3.5943,3.4635,0.2987,0.0367,0.1213,0.1515,0.0000,8.8113,2.9481,23.9111,5.7311,0.2617,12.7171,1.4751,30.0004,0.3266,0.8407,0.3248,0.1298,46.8733,0.0000,1.2311,0.1164,0.3202,0.5368,0.0000,2.4158,1.0582,3.2604,4.8364,8.6959,1.6228,2.7780,22.8393,2.5512,0.7166,0.0178,1.7881,1.7798,1.7885,1.7880,1.7882,1.7883,1.7873,1.7885,1.7875,1.7877,1.7844,1.7725,1.7842,1.7865,1.7873,1.7868,1.7878,1.7847,1.7885,1.3360,1.1321,1.2632,0.6610,0.4813,0.6250,0.6226,0.5262,0.7168,0.4290,0.7952,0.3784,0.7369,0.5712,0.8983,1.1643,0.4526,0.7432,0.9400,8.6317,0.1010,1.0000,0.0365,0.2203,0.0000,5.0000,0.2058,0.1526,0.0130,10.0000,0.3850,0.1291,0.0598,1.4157,0.0522,0.2048,0.0000,13.3388,0.4621,0.1190,0.1000,14.3706,0.4786,0.1163,0.1163,4.9042,0.2019,0.1533,0.0100,1.4157,0.0522,0.2048,0.0000,3.4441,0.1329,0.1669,0.0061
Emys_orbicularis_2,3611,1.7792,1.8568,500,0.9358,33584,4.7683,4.7260,0.0000,0.0500,0.0053,0.1094,1.1168,0.0000,7.9887,2.8284,24.2592,5.1482,0.1361,13.5288,1.9373,30.4995,1.6389,0.7512,0.5079,0.1615,55.0627,0.0000,1.2476,0.0419,0.2361,0.3680,0.0000,1.5994,1.1917,3.8758,5.1904,7.8840,1.7898,2.3013,17.1904,1.2890,0.5343,0.0360,1.7797,1.7691,1.7791,1.7784,1.7791,1.7786,1.7779,1.7799,1.7787,1.7792,1.7748,1.7626,1.7764,1.7769,1.7776,1.7778,1.7783,1.7769,1.7785,1.3334,1.1344,1.2573,0.6479,0.4627,0.6489,0.6399,0.5122,0.7239,0.4233,0.7902,0.3680,0.7090,0.5574,0.9045,1.1646,0.4421,0.7475,0.9328,8.6444,0.1022,1.0000,0.0367,0.2263,0.0000,5.0000,0.1964,0.1553,0.0125,10.0000,0.3831,0.1304,0.0548,1.0798,0.0392,0.2229,0.0000,13.6040,0.4661,0.1195,0.0997,14.9301,0.4932,0.1160,0.1160,5.5171,0.2223,0.1516,0.0147,1.8248,0.0653,0.1990,0.0006,3.5683,0.1301,0.1691,0.0064
Emys_orbicularis_3,3611,1.7805,1.8580,500,0.9359,33586,4.8664,2.8203,3.6217,0.0956,0.1101,0.0753,0.1297,0.2978,4.7639,2.1661,27.2235,6.6727,0.3592,12.9608,2.8773,29.6580,0.2951,0.8718,0.1346,0.0000,43.1393,0.0000,1.2974,0.0000,0.4156,0.1049,0.0000,1.8763,0.8593,3.4354,5.3366,9.1805,1.4051,2.1968,29.1370,0.6169,0.9915,0.0076,1.7809,1.7721,1.7809,1.7799,1.7806,1.7802,1.7798,1.7802,1.7797,1.7800,1.7751,1.7628,1.7759,1.7787,1.7787,1.7791,1.7809,1.7772,1.7808,1.3302,1.1121,1.2558,0.6343,0.4515,0.6091,0.6010,0.4989,0.6848,0.4101,0.7941,0.3689,0.7096,0.5591,0.8829,1.1590,0.4521,0.7351,0.9244,8.6411,0.1019,1.0000,0.0366,0.2241,0.0000,5.0000,0.1991,0.1550,0.0108,10.0000,0.3842,0.1304,0.0548,1.5629,0.0569,0.2040,0.0000,13.5294,0.4650,0.1197,0.0994,14.7962,0.4875,0.1164,0.1163,5.1672,0.2060,0.1538,0.0111,1.5629,0.0569,0.2040,0.0000,3.5606,0.1337,0.1685,0.0066
Emys_orbicularis_4,3611,1.7816,1.8592,500,0.9358,33585,3.0800,3.4497,7.3135,0.0394,0.0020,0.2572,0.0989,0.0037,10.9106,3.4608,23.2807,6.0351,0.1697,11.6641,1.5803,27.5022,0.2325,0.7324,0.1872,0.4562,50.5860,0.0000,1.2539,0.0101,0.3603,0.1366,0.0926,2.2078,1.1087,3.8357,5.3867,6.9473,1.3376,2.2695,21.7972,1.3273,0.8192,0.0672,1.7812,1.7720,1.7811,1.7800,1.7813,1.7809,1.7802,1.7810,1.7804,1.7804,1.7769,1.7661,1.7766,1.7799,1.7804,1.7801,1.7804,1.7773,1.7808,1.3323,1.1266,1.2605,0.6580,0.4716,0.6221,0.6095,0.5204,0.7051,0.4154,0.7984,0.3657,0.7308,0.5655,0.8918,1.1601,0.4508,0.7435,0.9452,8.6408,0.1019,1.0000,0.0369,0.2236,0.0003,5.0000,0.2024,0.1545,0.0108,10.0000,0.3868,0.1304,0.0529,0.9894,0.0363,0.2241,0.0000,13.6524,0.4686,0.1194,0.0997,14.9385,0.4905,0.1161,0.1160,5.4117,0.2224,0.1516,0.0130,1.5298,0.0560,0.2045,0.0003,3.5117,0.1339,0.1684,0.0058
Emys_orbicularis_5,3611,1.7752,1.8497,500,0.9354,33590,6.2868,3.1289,0.7327,0.0287,0.0001,0.1426,1.2382,0.0000,7.7149,3.1046,26.0580,5.8924,0.2745,14.2986,0.8731,28.9361,0.4003,0.5203,0.3690,0.4154,45.4953,0.0000,1.7678,0.0017,0.2863,0.3592,0.0000,1.7114,1.5128,3.6877,6.7023,7.0088,1.5469,3.1453,24.7737,0.8758,0.6649,0.0447,1.7743,1.7676,1.7751,1.7734,1.7746,1.7742,1.7732,1.7746,1.7744,1.7742,1.7709,1.7581,1.7707,1.7729,1.7730,1.7732,1.7737,1.7720,1.7749,1.3272,1.1145,1.2545,0.6498,0.4689,0.6322,0.6245,0.5206,0.7064,0.4174,0.8023,0.3579,0.7045,0.5574,0.8831,1.1570,0.4450,0.7456,0.9319,8.6481,0.1025,1.0000,0.0362,0.2274,0.0000,5.0000,0.1930,0.1561,0.0136,10.0000,0.3819,0.1311,0.0562,1.5773,0.0565,0.2064,0.0000,13.4603,0.4611,0.1205,0.1000,14.8411,0.4876,0.1169,0.1169,5.3785,0.2123,0.1532,0.0155,1.5773,0.0565,0.2064,0.0000,3.5917,0.1321,0.1697,0.0069
Emys_orbicularis_6,3611,1.7816,1.8575,500,0.9359,33587,9.1538,3.4827,1.0229,0.1779,0.0758,0.0809,0.1376,0.0000,7.6234,2.8509,27.0375,4.7653,0.8737,9.9441,2.6320,28.7685,0.6504,0.4155,0.3073,0.2194,45.8106,0.0000,0.6821,0.0000,0.3171,0.4037,0.0000,2.5160,1.5008,4.0654,6.8294,7.9261,1.7402,3.4993,21.9922,1.7952,0.6904,0.0120,1.7808,1.7731,1.7810,1.7813,1.7812,1.7810,1.7795,1.7812,1.7802,1.7793,1.7771,1.7638,1.7758,1.7791,1.7797,1.7800,1.7806,1.7786,1.7814,1.3312,1.1246,1.2581,0.6424,0.4570,0.6222,0.6191,0.5046,0.7063,0.4200,0.7951,0.3814,0.7216,0.5555,0.9040,1.1572,0.4440,0.7395,0.9404,8.6408,0.1018,1.0000,0.0361,0.2245,0.0003,5.0000,0.2024,0.1546,0.0114,10.0000,0.3828,0.1303,0.0582,0.9002,0.0328,0.2293,0.0000,13.5089,0.4649,0.1196,0.0997,14.9417,0.4887,0.1159,0.1160,5.4049,0.2229,0.1518,0.0125,1.7780,0.0651,0.1982,0.0003,3.5251,0.1335,0.1685,0.0072
Emys_orbicularis_7,3611,1.7838,1.8623,500,0.9360,33578,7.2194,2.7543,0.6653,0.0841,0.0000,0.1455,0.0921,0.0000,10.5189,2.8643,20.0114,6.4736,0.7015,11.7789,2.4804,33.0154,0.1373,0.8022,0.2555,0.3588,54.2491,0.0000,1.2890,0.0000,0.2495,0.2205,0.0000,1.6183,0.9709,3.6690,5.6184,7.0327,2.0624,1.7392,17.3686,2.5351,0.9855,0.0331,1.7834,1.7754,1.7833,1.7825,1.7833,1.7826,1.7822,1.7839,1.7831,1.7836,1.7786,1.7687,1.7795,1.7805,1.7817,1.7833,1.7821,1.7800,1.7835,1.3347,1.1173,1.2625,0.6340,0.4466,0.6248,0.6259,0.4969,0.6986,0.4130,0.7844,0.3743,0.7183,0.5591,0.8897,1.1654,0.4452,0.7526,0.9398,8.6381,0.1017,1.0000,0.0372,0.2213,0.0000,5.0000,0.2047,0.1541,0.0094,10.0000,0.3867,0.1301,0.0557,1.0454,0.0387,0.2194,0.0000,13.7001,0.4697,0.1191,0.0994,14.8816,0.4889,0.1160,0.1158,5.0477,0.2071,0.1537,0.0094,1.4406,0.0536,0.2051,0.0006,3.4795,0.1340,0.1680,0.0058
Emys_orbicularis_8,3611,1.7772,1.8549,500,0.9355,33588,4.9165,4.0931,3.7110,0.3963,0.0057,0.0857,0.1700,0.0000,7.2226,2.4246,24.1676,6.5496,0.2935,13.4076,1.5344,29.8737,0.5575,0.3978,0.1927,0.0699,43.3953,0.0000,1.3693,0.0201,0.2616,0.1412,0.0000,1.8996,1.1539,4.2081,5.9101,6.2580,2.2817,2.6795,29.3810,0.5131,0.4342,0.0233,1.7772,1.7680,1.7771,1.7757,1.7777,1.7768,1.7762,1.7775,1.7770,1.7765,1.7716,1.7593,1.7745,1.7744,1.7750,1.7746,1.7773,1.7746,1.7766,1.3342,1.1146,1.2642,0.6373,0.4479,0.6323,0.6212,0.4998,0.7108,0.4160,0.7808,0.3620,0.7101,0.5564,0.8838,1.1693,0.4406,0.7348,0.9314,8.6453,0.1024,1.0000,0.0380,0.2243,0.0000,5.0000,0.1963,0.1548,0.0150,10.0000,0.3884,0.1306,0.0548,1.5511,0.0575,0.2049,0.0000,13.6859,0.4749,0.1196,0.0986,14.9846,0.4956,0.1163,0.1163,5.5945,0.2261,0.1506,0.0163,1.5511,0.0575,0.2049,0.0000,3.5123,0.1314,0.1692,0.0075
Emys_orbicularis_9,3611,1.7762,1.8532,500,0.9356,33586,4.7526,3.9148,3.6123,0.6672,0.0117,0.0866,0.0999,0.0000,5.0952,2.1163,27.4002,6.3714,0.2807,13.2753,2.3819,27.9649,0.6254,0.6748,0.6689,0.1693,42.4200,0.0000,1.5219,0.0742,0.4531,0.3279,0.0000,1.5216,0.8948,3.5519,5.3710,8.3272,1.5208,2.4783,29.4139,1.0292,0.8651,0.0596,1.7753,1.7689,1.7756,1.7742,1.7757,1.7744,1.7753,1.7753,1.7747,1.7750,1.7717,1.7593,1.7713,1.7740,1.7741,1.7746,1.7754,1.7728,1.7754,1.3285,1.1099,1.2588,0.6620,0.4806,0.6242,0.6179,0.5284,0.7085,0.4104,0.8081,0.3644,0.7290,0.5673,0.8781,1.1645,0.4513,0.7471,0.9353,8.6473,0.1025,1.0000,0.0369,0.2248,0.0000,5.0000,0.2001,0.1558,0.0108,10.0000,0.3864,0.1313,0.0551,1.2536,0.0463,0.2146,0.0000,13.4824,0.4600,0.1206,0.0994,14.8336,0.4841,0.1171,0.1171,5.2310,0.2094,0.1541,0.0111,1.7451,0.0655,0.1998,0.0003,3.5470,0.1341,0.1695,0.0061
