Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio_1 contribution,bio_10 contribution,bio_11 contribution,bio_12 contribution,bio_13 contribution,bio_14 contribution,bio_15 contribution,bio_16 contribution,bio_17 contribution,bio_18 contribution,bio_19 contribution,bio_2 contribution,bio_3 contribution,bio_4 contribution,bio_5 contribution,bio_6 contribution,bio_7 contribution,bio_8 contribution,bio_9 contribution,bio_1 permutation importance,bio_10 permutation importance,bio_11 permutation importance,bio_12 permutation importance,bio_13 permutation importance,bio_14 permutation importance,bio_15 permutation importance,bio_16 permutation importance,bio_17 permutation importance,bio_18 permutation importance,bio_19 permutation importance,bio_2 permutation importance,bio_3 permutation importance,bio_4 permutation importance,bio_5 permutation importance,bio_6 permutation importance,bio_7 permutation importance,bio_8 permutation importance,bio_9 permutation importance,Training gain without bio_1,Training gain without bio_10,Training gain without bio_11,Training gain without bio_12,Training gain without bio_13,Training gain without bio_14,Training gain without bio_15,Training gain without bio_16,Training gain without bio_17,Training gain without bio_18,Training gain without bio_19,Training gain without bio_2,Training gain without bio_3,Training gain without bio_4,Training gain without bio_5,Training gain without bio_6,Training gain without bio_7,Training gain without bio_8,Training gain without bio_9,Training gain with only bio_1,Training gain with only bio_10,Training gain with only bio_11,Training gain with only bio_12,Training gain with only bio_13,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_16,Training gain with only bio_17,Training gain with only bio_18,Training gain with only bio_19,Training gain with only bio_2,Training gain with only bio_3,Training gain with only bio_4,Training gain with only bio_5,Training gain with only bio_6,Training gain with only bio_7,Training gain with only bio_8,Training gain with only bio_9,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
Trachemys_scripta_scripta_0,3152,1.8832,1.9622,500,0.9441,33124,2.4305,0.0100,12.1874,0.6893,0.1110,38.6129,1.3489,0.2490,0.4846,0.9315,19.9791,0.6813,7.0378,11.4229,0.4975,2.0960,0.5749,0.4350,0.2204,58.3021,0.0192,2.5473,1.5145,1.8411,0.3003,0.2729,1.3578,12.1364,1.2871,3.6143,0.0608,4.7721,2.7980,1.5504,3.7057,0.1475,0.7248,3.0479,1.8813,1.8828,1.8820,1.8816,1.8820,1.8834,1.8822,1.8827,1.8780,1.8809,1.8810,1.8832,1.8725,1.8786,1.8785,1.8817,1.8824,1.8825,1.8788,1.2794,0.8350,1.3580,0.9623,0.7124,1.2186,0.9963,0.7763,1.2237,0.5365,1.2744,0.1772,1.1420,0.8788,0.7317,1.2996,0.5692,0.3912,1.1198,8.5299,0.0918,1.0000,0.0277,0.2189,0.0035,5.0000,0.1786,0.1420,0.0174,10.0000,0.3525,0.1166,0.0587,0.0619,0.0012,0.4227,0.0000,13.1904,0.4390,0.1069,0.0999,13.5838,0.4474,0.1059,0.1060,5.4814,0.1972,0.1384,0.0190,1.7547,0.0514,0.1894,0.0048,3.8107,0.1295,0.1529,0.0146
Trachemys_scripta_scripta_1,3152,1.8749,1.9535,500,0.9439,33127,3.4087,0.0280,10.9622,0.5096,0.3517,39.5347,0.4392,0.2634,0.1797,0.3741,21.6661,0.1621,6.3933,12.9851,0.5139,1.3471,0.3867,0.3095,0.1847,45.3705,0.5417,2.4146,0.7874,2.6658,0.4964,0.3778,2.4803,10.3679,0.7523,5.9732,0.0355,6.6204,2.9740,1.7630,11.5277,0.5082,1.2072,3.1361,1.8723,1.8744,1.8742,1.8752,1.8739,1.8750,1.8715,1.8735,1.8698,1.8735,1.8714,1.8745,1.8638,1.8714,1.8720,1.8734,1.8749,1.8713,1.8688,1.2787,0.8321,1.3507,0.9689,0.7170,1.2322,1.0095,0.7840,1.2361,0.5548,1.2666,0.1799,1.1389,0.8592,0.7255,1.2953,0.5648,0.3894,1.1298,8.5371,0.0923,1.0000,0.0249,0.2263,0.0044,5.0000,0.1725,0.1438,0.0203,10.0000,0.3452,0.1172,0.0657,0.0955,0.0019,0.4046,0.0000,12.9929,0.4300,0.1078,0.0996,13.6570,0.4426,0.1060,0.1060,5.6288,0.1940,0.1390,0.0228,1.6569,0.0448,0.1969,0.0051,3.9265,0.1275,0.1540,0.0155
Trachemys_scripta_scripta_2,3152,1.8756,1.9558,500,0.9439,33125,2.9860,0.0220,11.1776,0.5219,0.8443,38.9924,0.0506,0.1328,0.2949,0.6816,21.6664,0.6399,5.1671,13.9690,0.7181,0.0622,1.3432,0.4016,0.3282,52.9431,0.3571,1.5308,0.8400,2.6398,0.7865,0.5644,1.4660,11.6578,0.7120,6.4588,0.0583,5.8951,1.9117,2.4704,6.0809,0.5249,0.5397,2.5626,1.8741,1.8768,1.8743,1.8761,1.8755,1.8760,1.8733,1.8769,1.8717,1.8753,1.8715,1.8773,1.8625,1.8738,1.8703,1.8761,1.8764,1.8747,1.8726,1.2791,0.8217,1.3531,0.9642,0.7131,1.2118,0.9992,0.7788,1.2221,0.5381,1.2710,0.1728,1.1337,0.8679,0.7149,1.2913,0.5713,0.3863,1.1127,8.5366,0.0923,1.0000,0.0276,0.2245,0.0025,5.0000,0.1685,0.1437,0.0194,10.0000,0.3436,0.1170,0.0631,0.1086,0.0020,0.3784,0.0000,13.0090,0.4327,0.1076,0.0999,13.5090,0.4459,0.1063,0.1063,6.4838,0.2275,0.1332,0.0247,1.1627,0.0326,0.2163,0.0029,3.9401,0.1273,0.1539,0.0140
Trachemys_scripta_scripta_3,3152,1.8728,1.9549,500,0.9441,33111,2.7378,0.0197,11.1692,0.4934,0.2844,39.4367,0.8468,0.2372,0.1864,0.7557,20.8437,0.3235,6.1276,12.9010,0.3964,1.8667,0.6350,0.3187,0.4201,44.5861,0.7360,2.1356,0.8821,2.3658,0.4910,0.3349,2.6947,11.0290,1.1235,7.7248,0.4304,6.1703,3.4933,2.1983,9.9642,0.0000,1.1332,2.5067,1.8709,1.8734,1.8718,1.8694,1.8720,1.8729,1.8713,1.8733,1.8679,1.8701,1.8693,1.8717,1.8596,1.8696,1.8699,1.8708,1.8718,1.8700,1.8663,1.2728,0.8312,1.3468,0.9617,0.7120,1.2234,0.9926,0.7749,1.2311,0.5473,1.2590,0.1761,1.1347,0.8645,0.7274,1.2919,0.5473,0.3921,1.1245,8.5389,0.0925,1.0000,0.0291,0.2246,0.0035,5.0000,0.1641,0.1453,0.0219,10.0000,0.3402,0.1176,0.0596,0.1051,0.0020,0.3802,0.0000,13.7570,0.4362,0.1059,0.0999,14.0854,0.4423,0.1050,0.1047,6.4031,0.2135,0.1349,0.0263,1.2258,0.0359,0.2140,0.0035,4.0892,0.1274,0.1543,0.0152
Trachemys_scripta_scripta_4,3152,1.8768,1.9577,500,0.9441,33129,2.3442,0.0638,11.8066,0.5579,0.6711,39.4864,0.4232,0.0034,0.5783,0.9632,20.2394,0.1005,6.0459,11.4466,0.6678,3.1032,0.5122,0.2559,0.7303,35.0244,2.1280,1.5758,0.9565,3.4738,0.4033,0.3771,0.2467,11.0005,0.7692,6.6999,0.1602,7.1314,2.6786,2.5021,19.1240,0.3094,0.9501,4.4891,1.8755,1.8763,1.8771,1.8746,1.8746,1.8777,1.8747,1.8770,1.8726,1.8757,1.8734,1.8762,1.8649,1.8739,1.8733,1.8765,1.8777,1.8766,1.8712,1.2880,0.8432,1.3635,0.9638,0.7138,1.2305,1.0059,0.7765,1.2301,0.5468,1.2693,0.1837,1.1400,0.8711,0.7370,1.3096,0.5563,0.4002,1.1246,8.5346,0.0921,1.0000,0.0283,0.2207,0.0038,5.0000,0.1701,0.1438,0.0203,10.0000,0.3394,0.1172,0.0641,0.0933,0.0018,0.3874,0.0000,13.0479,0.4258,0.1076,0.0999,13.6286,0.4404,0.1060,0.1060,6.5601,0.2299,0.1330,0.0279,1.6213,0.0479,0.1957,0.0041,3.9809,0.1306,0.1536,0.0143
Trachemys_scripta_scripta_5,3152,1.8793,1.9604,500,0.9440,33127,2.9232,0.0519,10.6114,0.6613,0.5224,38.4623,0.5088,0.0438,0.1845,0.5688,20.9558,0.2270,6.3240,12.6561,0.5660,3.9290,0.4009,0.2901,0.1125,55.3768,0.4910,1.7632,1.1824,1.6156,0.7602,0.3184,0.2797,9.9832,0.8307,6.3834,0.0913,4.6959,3.5730,1.3335,6.7382,0.5919,0.4988,3.4928,1.8769,1.8788,1.8785,1.8778,1.8779,1.8803,1.8776,1.8796,1.8745,1.8794,1.8753,1.8803,1.8693,1.8772,1.8777,1.8784,1.8795,1.8791,1.8740,1.2932,0.8393,1.3630,0.9621,0.7232,1.2025,1.0120,0.7835,1.2113,0.5328,1.2704,0.1865,1.1386,0.8757,0.7278,1.3020,0.5673,0.3917,1.1190,8.5308,0.0919,1.0000,0.0275,0.2185,0.0041,5.0000,0.1794,0.1418,0.0187,10.0000,0.3545,0.1163,0.0635,0.0743,0.0014,0.4064,0.0000,13.1791,0.4469,0.1068,0.0996,13.7740,0.4584,0.1053,0.1053,5.7487,0.2063,0.1364,0.0222,1.5645,0.0456,0.1946,0.0044,3.7703,0.1281,0.1530,0.0136
Trachemys_scripta_scripta_6,3152,1.8802,1.9611,500,0.9439,33132,3.2816,0.0000,10.7289,0.7493,0.2701,35.7694,0.1283,0.1283,0.1734,0.3477,25.0919,0.2988,6.3133,12.4679,0.5766,2.2708,0.5595,0.2843,0.5600,58.0710,0.0000,0.4937,0.9769,1.6493,0.3877,0.4065,2.8207,7.3335,0.4925,5.1850,0.0686,6.1116,3.4144,1.9536,6.0100,0.6841,1.2486,2.6923,1.8780,1.8803,1.8798,1.8783,1.8801,1.8806,1.8776,1.8800,1.8759,1.8797,1.8755,1.8799,1.8666,1.8773,1.8769,1.8808,1.8810,1.8785,1.8761,1.2934,0.8428,1.3551,0.9784,0.7282,1.2189,0.9941,0.7952,1.2201,0.5419,1.2770,0.1806,1.1416,0.8612,0.7354,1.2953,0.5601,0.3954,1.1133,8.5321,0.0920,1.0000,0.0263,0.2201,0.0032,5.0000,0.1813,0.1415,0.0206,10.0000,0.3543,0.1164,0.0628,0.1005,0.0019,0.3899,0.0000,13.3589,0.4509,0.1065,0.0999,13.7785,0.4599,0.1054,0.1053,5.6393,0.2021,0.1369,0.0225,1.6438,0.0465,0.1926,0.0048,3.7405,0.1263,0.1532,0.0146
Trachemys_scripta_scripta_7,3152,1.8750,1.9595,500,0.9441,33119,3.6996,0.0343,13.1231,0.6975,0.7621,38.9444,0.0507,0.2196,0.2894,0.6879,21.0429,0.2551,6.5531,10.5027,0.7687,1.7843,0.0456,0.3386,0.2002,50.4542,0.4584,1.3875,1.0887,2.3481,0.8345,0.4110,1.3979,11.7798,0.7519,8.2463,0.0724,4.6056,2.5238,2.0467,5.9473,0.2163,1.2714,4.1584,1.8720,1.8753,1.8727,1.8731,1.8739,1.8751,1.8736,1.8740,1.8701,1.8741,1.8711,1.8748,1.8639,1.8708,1.8719,1.8737,1.8739,1.8718,1.8690,1.2835,0.8321,1.3483,0.9649,0.7149,1.2202,1.0110,0.7773,1.2272,0.5428,1.2629,0.1759,1.1303,0.8488,0.7256,1.2868,0.5403,0.3925,1.1198,8.5344,0.0922,1.0000,0.0291,0.2197,0.0025,5.0000,0.1718,0.1434,0.0235,10.0000,0.3502,0.1169,0.0606,0.1631,0.0032,0.3333,0.0000,13.4538,0.4459,0.1066,0.0999,13.9487,0.4565,0.1053,0.1053,6.0545,0.2087,0.1356,0.0292,1.5368,0.0459,0.1977,0.0035,3.9195,0.1298,0.1536,0.0155
Trachemys_scripta_scripta_8,3152,1.8951,1.9742,500,0.9444,33127,2.8548,0.0303,13.3188,1.3179,0.1000,34.2217,0.1371,0.0436,0.4788,0.8845,26.7848,0.4758,6.3476,10.3928,0.8731,0.0473,0.2817,0.3690,1.0403,58.2521,0.2727,1.0031,1.4222,0.9820,0.6446,0.4486,0.6222,9.1633,0.4791,8.7662,0.0715,4.9804,2.2114,1.2895,4.8611,0.4452,1.0371,3.0477,1.8925,1.8944,1.8948,1.8937,1.8952,1.8947,1.8933,1.8941,1.8910,1.8954,1.8902,1.8955,1.8817,1.8912,1.8918,1.8938,1.8940,1.8922,1.8902,1.2822,0.8346,1.3538,0.9973,0.7408,1.2278,0.9965,0.8062,1.2365,0.5482,1.3023,0.1917,1.1386,0.8692,0.7324,1.2939,0.5732,0.3944,1.1188,8.5168,0.0908,1.0000,0.0274,0.2091,0.0035,5.0000,0.1914,0.1392,0.0159,10.0000,0.3612,0.1153,0.0619,0.0426,0.0009,0.4385,0.0000,13.3185,0.4501,0.1058,0.0999,13.7558,0.4610,0.1047,0.1047,4.8733,0.1874,0.1401,0.0140,1.3295,0.0389,0.1942,0.0041,3.6256,0.1353,0.1508,0.0105
Trachemys_scripta_scripta_9,3152,1.8839,1.9648,500,0.9441,33125,4.0371,0.0533,10.9863,0.6207,0.0966,36.3706,1.1020,0.3239,0.1931,0.5163,23.1024,0.1935,7.9328,9.7548,0.3202,3.0452,0.0666,0.3560,0.9287,49.5012,0.0842,1.8370,0.7350,2.2247,0.7267,0.5654,0.7609,10.9624,0.6159,7.9341,0.1946,8.9458,2.1988,1.7580,6.6651,0.1957,0.8209,3.2734,1.8809,1.8849,1.8856,1.8842,1.8834,1.8848,1.8819,1.8848,1.8805,1.8831,1.8794,1.8836,1.8672,1.8821,1.8803,1.8835,1.8847,1.8830,1.8781,1.2769,0.8181,1.3459,0.9837,0.7301,1.2207,0.9829,0.7935,1.2342,0.5391,1.2878,0.1794,1.1489,0.8462,0.7180,1.2833,0.5405,0.3891,1.1152,8.5291,0.0918,1.0000,0.0265,0.2194,0.0032,5.0000,0.1772,0.1410,0.0209,10.0000,0.3618,0.1159,0.0615,0.1172,0.0022,0.3683,0.0000,13.5342,0.4571,0.1057,0.0999,13.8876,0.4640,0.1048,0.1047,5.4582,0.1954,0.1376,0.0228,1.7225,0.0493,0.1899,0.0035,3.7511,0.1242,0.1527,0.0152
