Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio_1 contribution,bio_10 contribution,bio_11 contribution,bio_12 contribution,bio_13 contribution,bio_14 contribution,bio_15 contribution,bio_16 contribution,bio_17 contribution,bio_18 contribution,bio_19 contribution,bio_2 contribution,bio_3 contribution,bio_4 contribution,bio_5 contribution,bio_6 contribution,bio_7 contribution,bio_8 contribution,bio_9 contribution,bio_1 permutation importance,bio_10 permutation importance,bio_11 permutation importance,bio_12 permutation importance,bio_13 permutation importance,bio_14 permutation importance,bio_15 permutation importance,bio_16 permutation importance,bio_17 permutation importance,bio_18 permutation importance,bio_19 permutation importance,bio_2 permutation importance,bio_3 permutation importance,bio_4 permutation importance,bio_5 permutation importance,bio_6 permutation importance,bio_7 permutation importance,bio_8 permutation importance,bio_9 permutation importance,Training gain without bio_1,Training gain without bio_10,Training gain without bio_11,Training gain without bio_12,Training gain without bio_13,Training gain without bio_14,Training gain without bio_15,Training gain without bio_16,Training gain without bio_17,Training gain without bio_18,Training gain without bio_19,Training gain without bio_2,Training gain without bio_3,Training gain without bio_4,Training gain without bio_5,Training gain without bio_6,Training gain without bio_7,Training gain without bio_8,Training gain without bio_9,Training gain with only bio_1,Training gain with only bio_10,Training gain with only bio_11,Training gain with only bio_12,Training gain with only bio_13,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_16,Training gain with only bio_17,Training gain with only bio_18,Training gain with only bio_19,Training gain with only bio_2,Training gain with only bio_3,Training gain with only bio_4,Training gain with only bio_5,Training gain with only bio_6,Training gain with only bio_7,Training gain with only bio_8,Training gain with only bio_9,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
Trachemys_scripta_scripta_0,1641,2.3841,2.4973,500,0.9678,31624,2.1689,1.8180,0.0025,0.3443,0.2841,20.3096,0.0601,0.4735,32.4644,1.0944,10.8096,1.9328,0.5522,11.7770,11.7386,0.8723,1.6631,0.3734,1.2612,2.8531,37.1979,0.0000,1.5431,0.8007,0.8531,0.2898,0.6018,29.8011,2.0610,9.3190,0.6573,1.5547,1.9047,6.8662,0.3006,0.1001,0.2854,3.0105,2.3899,2.3805,2.3909,2.3892,2.3904,2.3921,2.3851,2.3901,2.3800,2.3838,2.3843,2.3825,2.3845,2.3850,2.3802,2.3906,2.3880,2.3887,2.3784,1.4499,1.1439,1.3968,1.3829,1.1348,1.6219,0.9591,1.1862,1.6585,0.9987,1.6248,0.6064,1.1482,0.7584,1.2115,1.2677,0.4845,0.6338,1.1652,7.9850,0.0545,1.0000,0.0130,0.1840,0.0037,5.0000,0.1091,0.0927,0.0335,10.0000,0.2628,0.0684,0.0518,0.2164,0.0024,0.3036,0.0000,15.1204,0.4698,0.0577,0.0999,11.5164,0.3222,0.0643,0.0646,8.3512,0.2102,0.0741,0.0433,1.6429,0.0236,0.1507,0.0067,4.9865,0.1089,0.0928,0.0329
Trachemys_scripta_scripta_1,1641,2.3928,2.4937,500,0.9677,31626,1.8277,2.0438,0.0544,0.4996,0.4282,24.5820,0.0432,0.1598,29.0761,0.7836,8.7069,0.5439,1.2056,13.0110,12.1413,2.3356,0.3961,0.5675,1.5935,0.0608,56.3805,0.8729,1.2138,1.1789,0.3435,0.2600,0.1009,12.2308,1.4668,10.3962,0.3186,3.3360,3.9449,4.6552,0.0531,0.0000,0.4459,2.7411,2.3920,2.3802,2.3906,2.3890,2.3921,2.3896,2.3901,2.3867,2.3848,2.3919,2.3823,2.3865,2.3826,2.3866,2.3798,2.3927,2.3933,2.3896,2.3807,1.4649,1.1266,1.4255,1.3951,1.1611,1.6352,0.9735,1.2107,1.6696,0.9984,1.6143,0.5892,1.1889,0.7843,1.1857,1.2953,0.4940,0.6251,1.1976,7.9772,0.0542,1.0000,0.0147,0.1776,0.0024,5.0000,0.1116,0.0917,0.0329,10.0000,0.2627,0.0679,0.0567,0.2938,0.0035,0.2607,0.0000,15.2464,0.4901,0.0572,0.0993,10.9284,0.2994,0.0653,0.0652,6.3484,0.1546,0.0829,0.0360,1.4515,0.0223,0.1547,0.0037,4.9407,0.1095,0.0921,0.0317
Trachemys_scripta_scripta_2,1641,2.3781,2.4866,500,0.9676,31624,0.9901,1.1553,0.5544,0.2050,0.4404,25.7298,0.0908,0.2312,27.5676,0.6157,10.7509,1.6615,0.6695,11.5404,13.0338,0.5564,1.9805,0.2920,1.9347,0.5661,52.2709,0.0000,1.0880,1.1658,0.2109,0.1810,0.3655,24.2881,2.6767,5.6052,0.8728,1.4946,1.8907,4.8454,0.3064,0.0000,0.2418,1.9299,2.3767,2.3687,2.3794,2.3773,2.3770,2.3790,2.3759,2.3752,2.3668,2.3725,2.3735,2.3711,2.3687,2.3743,2.3689,2.3782,2.3809,2.3760,2.3664,1.4694,1.1384,1.4300,1.3865,1.1427,1.6172,0.9762,1.1976,1.6562,0.9858,1.6176,0.6087,1.1719,0.7933,1.1973,1.3055,0.5078,0.6166,1.1723,7.9930,0.0549,1.0000,0.0133,0.1865,0.0037,5.0000,0.1070,0.0945,0.0280,10.0000,0.2567,0.0691,0.0609,0.1624,0.0018,0.3338,0.0000,14.5558,0.4314,0.0586,0.0993,10.8457,0.2910,0.0666,0.0664,5.3482,0.1175,0.0917,0.0280,1.6619,0.0244,0.1528,0.0037,5.1104,0.1114,0.0936,0.0280
Trachemys_scripta_scripta_3,1641,2.3963,2.4926,500,0.9675,31627,0.6435,0.9084,0.0242,0.5189,0.1867,16.2937,0.0409,0.7546,33.9474,0.4251,14.1890,0.5640,0.6498,12.4127,14.8487,0.0197,0.8377,0.4824,2.2526,0.1224,59.0452,0.3791,1.9657,0.3667,0.0787,0.0621,0.9140,7.4666,0.7171,16.6967,0.5304,2.3983,3.6743,2.7287,0.0270,0.0649,0.5608,2.2014,2.3986,2.3834,2.3965,2.3941,2.3953,2.3933,2.3945,2.3955,2.3914,2.3960,2.3838,2.3946,2.3888,2.3890,2.3878,2.3977,2.3972,2.3947,2.3894,1.4438,1.1256,1.3965,1.3969,1.1680,1.6298,0.9590,1.2213,1.6700,1.0113,1.6553,0.5936,1.1712,0.7702,1.1934,1.2641,0.4909,0.6423,1.1680,7.9769,0.0541,1.0000,0.0135,0.1802,0.0061,5.0000,0.1105,0.0914,0.0293,10.0000,0.2650,0.0677,0.0573,0.0537,0.0006,0.4119,0.0000,14.6232,0.4575,0.0580,0.0993,11.1424,0.3191,0.0647,0.0646,8.0790,0.2036,0.0745,0.0414,1.3916,0.0202,0.1584,0.0073,4.9237,0.1091,0.0921,0.0286
Trachemys_scripta_scripta_4,1641,2.4123,2.5124,500,0.9680,31634,0.0037,2.0623,0.0061,0.5180,0.2394,14.7259,0.0337,0.4459,38.1147,0.7406,10.4314,0.0696,2.8306,11.7405,12.9900,0.9680,2.0484,0.9757,1.0555,0.0059,48.2715,0.0434,1.9694,0.6592,0.4967,0.3246,0.3267,22.7804,1.0558,10.9792,0.1946,2.3595,4.3109,3.4856,0.2083,0.0391,0.2851,2.2041,2.4115,2.3953,2.4127,2.4089,2.4113,2.4103,2.4092,2.4112,2.3997,2.4089,2.4015,2.4097,2.4046,2.4070,2.3983,2.4109,2.4135,2.4115,2.4015,1.4462,1.1397,1.3979,1.3777,1.1405,1.6207,0.9410,1.1876,1.6669,0.9940,1.6209,0.6075,1.1751,0.7759,1.2053,1.2641,0.4891,0.6572,1.1849,7.9576,0.0532,1.0000,0.0131,0.1733,0.0012,5.0000,0.1174,0.0880,0.0299,10.0000,0.2874,0.0660,0.0512,0.0347,0.0004,0.4556,0.0000,14.6613,0.4874,0.0572,0.0999,11.0610,0.3335,0.0634,0.0634,7.0034,0.1759,0.0766,0.0378,1.1884,0.0161,0.1617,0.0018,4.7057,0.1063,0.0903,0.0293
Trachemys_scripta_scripta_5,1641,2.3898,2.4998,500,0.9681,31627,0.6481,0.7513,0.0435,0.3278,0.2250,21.4413,0.0653,0.3139,33.7788,0.8323,8.1666,1.0022,2.9869,12.7142,13.8462,0.7479,0.0029,0.6510,1.4549,0.0261,53.1770,0.0000,1.4351,0.6837,0.1398,0.4231,0.3998,21.8392,1.5540,9.7682,0.4571,2.6417,2.0090,2.7720,0.1154,0.0000,0.2113,2.3474,2.3893,2.3755,2.3907,2.3867,2.3911,2.3918,2.3892,2.3930,2.3742,2.3843,2.3837,2.3842,2.3758,2.3845,2.3801,2.3926,2.3910,2.3922,2.3800,1.4773,1.1515,1.4348,1.3876,1.1422,1.5980,0.9545,1.1887,1.6437,0.9821,1.6122,0.6076,1.2186,0.8030,1.2152,1.2960,0.4960,0.6253,1.1883,7.9857,0.0546,1.0000,0.0160,0.1761,0.0012,5.0000,0.1063,0.0940,0.0311,10.0000,0.2593,0.0689,0.0536,0.5023,0.0071,0.2187,0.0000,14.9361,0.4565,0.0581,0.0999,11.6375,0.3252,0.0644,0.0652,8.8329,0.2199,0.0728,0.0469,1.0285,0.0165,0.1745,0.0012,5.1430,0.1109,0.0929,0.0317
Trachemys_scripta_scripta_6,1641,2.3891,2.4931,500,0.9677,31627,0.0098,2.4054,3.0525,0.4044,0.5504,23.9777,0.2889,0.5013,27.9229,1.7363,9.7324,1.6109,2.8626,10.3088,10.3580,3.0544,0.2485,0.2148,0.7601,0.0000,58.6640,0.0000,1.5124,3.7357,0.0824,0.0949,0.0000,17.6997,2.6673,5.0462,0.5543,1.9800,2.0874,3.4645,0.1686,0.0137,0.3736,1.8554,2.3903,2.3803,2.3915,2.3888,2.3891,2.3913,2.3888,2.3907,2.3804,2.3828,2.3861,2.3862,2.3815,2.3842,2.3797,2.3918,2.3928,2.3900,2.3811,1.4665,1.1418,1.4224,1.3947,1.1643,1.6162,0.9685,1.2118,1.6527,0.9850,1.6344,0.5976,1.1690,0.7833,1.2167,1.2885,0.4899,0.6234,1.1853,7.9776,0.0543,1.0000,0.0140,0.1739,0.0049,5.0000,0.1182,0.0910,0.0299,10.0000,0.2714,0.0680,0.0542,0.1813,0.0020,0.3013,0.0000,14.8247,0.4704,0.0579,0.0993,11.0367,0.3124,0.0653,0.0652,5.0087,0.1182,0.0909,0.0299,1.5771,0.0242,0.1456,0.0049,4.8448,0.1122,0.0922,0.0299
Trachemys_scripta_scripta_7,1641,2.3869,2.4907,500,0.9676,31627,0.0100,1.2336,0.0287,0.4977,0.7289,25.0339,0.3924,0.3655,27.4362,1.8392,8.0107,0.5755,3.5351,12.3275,14.2400,1.0041,1.7949,0.1696,0.7766,0.0000,39.7974,1.1015,2.2392,2.2227,0.3135,0.3184,0.3563,24.3004,3.9487,7.3020,1.0668,3.5217,4.6801,4.7216,0.4928,0.2517,0.2593,3.1059,2.3871,2.3742,2.3886,2.3857,2.3879,2.3879,2.3854,2.3864,2.3791,2.3795,2.3830,2.3807,2.3762,2.3836,2.3762,2.3880,2.3885,2.3895,2.3769,1.4380,1.1309,1.4006,1.3790,1.1292,1.6142,0.9535,1.1836,1.6521,0.9939,1.6182,0.5964,1.2135,0.7882,1.2081,1.2608,0.4851,0.6221,1.1904,7.9877,0.0546,1.0000,0.0147,0.1805,0.0018,5.0000,0.1080,0.0945,0.0293,10.0000,0.2508,0.0689,0.0603,0.0824,0.0009,0.3775,0.0000,15.2218,0.4664,0.0576,0.0999,10.8330,0.2918,0.0664,0.0664,5.6815,0.1255,0.0894,0.0317,1.2754,0.0198,0.1656,0.0018,5.1795,0.1141,0.0931,0.0293
Trachemys_scripta_scripta_8,1641,2.3851,2.4933,500,0.9676,31628,1.3438,2.1194,0.5506,0.3954,0.6238,13.9719,0.1167,0.2561,37.8854,0.8416,11.0943,2.3790,0.9280,11.0480,12.7305,1.0790,1.3433,0.4001,0.8933,0.5497,45.8164,0.3807,1.5912,5.3419,0.0676,0.4767,0.0000,25.1276,3.6334,3.9700,1.0153,2.5925,0.6849,5.8882,0.2944,0.0121,0.3120,2.2453,2.3875,2.3737,2.3892,2.3841,2.3822,2.3882,2.3817,2.3862,2.3748,2.3801,2.3823,2.3820,2.3706,2.3805,2.3725,2.3837,2.3859,2.3867,2.3800,1.4281,1.1268,1.3849,1.3718,1.1335,1.5992,0.9460,1.1821,1.6345,0.9773,1.6078,0.5772,1.1814,0.7597,1.2000,1.2511,0.4697,0.6296,1.1672,7.9880,0.0547,1.0000,0.0136,0.1833,0.0037,5.0000,0.1090,0.0932,0.0286,10.0000,0.2591,0.0686,0.0561,0.1951,0.0023,0.3026,0.0000,15.5118,0.4904,0.0573,0.0987,11.2447,0.3126,0.0652,0.0652,6.2313,0.1458,0.0847,0.0341,1.3084,0.0186,0.1654,0.0043,5.0155,0.1093,0.0931,0.0286
Trachemys_scripta_scripta_9,1641,2.3725,2.4831,500,0.9676,31627,1.2944,0.9589,0.6286,0.3833,0.5417,25.1218,0.0795,0.0392,27.5670,0.7104,11.0673,2.3596,0.9799,11.3689,13.1251,0.8295,1.3582,0.3469,1.2396,0.7116,41.0061,0.5789,2.1042,2.9512,0.2637,0.2574,0.2974,28.6249,3.1453,6.2026,1.3796,1.4952,0.8428,6.7535,1.2320,0.0000,0.3298,1.8239,2.3741,2.3582,2.3760,2.3708,2.3719,2.3757,2.3736,2.3712,2.3636,2.3693,2.3697,2.3656,2.3645,2.3722,2.3612,2.3714,2.3751,2.3731,2.3675,1.4652,1.1546,1.4214,1.3852,1.1394,1.6119,0.9479,1.1889,1.6506,1.0019,1.6303,0.6133,1.1873,0.7892,1.2246,1.2869,0.4915,0.6406,1.1906,8.0014,0.0552,1.0000,0.0127,0.1942,0.0037,5.0000,0.1013,0.0972,0.0274,10.0000,0.2459,0.0704,0.0530,0.5224,0.0060,0.2443,0.0000,15.1743,0.4433,0.0583,0.0993,12.0071,0.3229,0.0646,0.0652,7.8309,0.1820,0.0790,0.0396,1.2209,0.0162,0.1798,0.0037,5.3318,0.1113,0.0944,0.0299
