Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio_1 contribution,bio_10 contribution,bio_11 contribution,bio_12 contribution,bio_13 contribution,bio_14 contribution,bio_15 contribution,bio_16 contribution,bio_17 contribution,bio_18 contribution,bio_19 contribution,bio_2 contribution,bio_3 contribution,bio_4 contribution,bio_5 contribution,bio_6 contribution,bio_7 contribution,bio_8 contribution,bio_9 contribution,bio_1 permutation importance,bio_10 permutation importance,bio_11 permutation importance,bio_12 permutation importance,bio_13 permutation importance,bio_14 permutation importance,bio_15 permutation importance,bio_16 permutation importance,bio_17 permutation importance,bio_18 permutation importance,bio_19 permutation importance,bio_2 permutation importance,bio_3 permutation importance,bio_4 permutation importance,bio_5 permutation importance,bio_6 permutation importance,bio_7 permutation importance,bio_8 permutation importance,bio_9 permutation importance,Training gain without bio_1,Training gain without bio_10,Training gain without bio_11,Training gain without bio_12,Training gain without bio_13,Training gain without bio_14,Training gain without bio_15,Training gain without bio_16,Training gain without bio_17,Training gain without bio_18,Training gain without bio_19,Training gain without bio_2,Training gain without bio_3,Training gain without bio_4,Training gain without bio_5,Training gain without bio_6,Training gain without bio_7,Training gain without bio_8,Training gain without bio_9,Training gain with only bio_1,Training gain with only bio_10,Training gain with only bio_11,Training gain with only bio_12,Training gain with only bio_13,Training gain with only bio_14,Training gain with only bio_15,Training gain with only bio_16,Training gain with only bio_17,Training gain with only bio_18,Training gain with only bio_19,Training gain with only bio_2,Training gain with only bio_3,Training gain with only bio_4,Training gain with only bio_5,Training gain with only bio_6,Training gain with only bio_7,Training gain with only bio_8,Training gain with only bio_9,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Cloglog threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Cloglog threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Cloglog threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Cloglog threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Cloglog threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Cloglog threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Cloglog threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Cloglog threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Cloglog threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
Trachemys_scripta_scripta_0,1514,2.4879,2.6075,500,0.9707,31502,0.3386,2.4983,0.0097,0.7535,0.1412,49.9373,0.1275,0.5261,11.7301,0.8977,4.0115,1.2675,0.3627,11.5828,13.7737,0.4013,0.0136,0.4922,1.1348,0.3784,6.4460,0.3237,3.7165,0.1234,11.0010,2.1526,0.1195,3.7462,2.3058,12.6126,1.1703,1.4076,1.6872,43.6913,4.0402,0.0954,0.6910,4.2913,2.4924,2.4859,2.4920,2.4877,2.4888,2.4851,2.4806,2.4910,2.4889,2.4875,2.4810,2.4888,2.4811,2.4888,2.4826,2.4903,2.4933,2.4858,2.4809,1.4410,1.1404,1.3953,1.5367,1.2231,1.7840,1.0021,1.2770,1.7990,1.1464,1.7170,0.6490,1.2004,0.7835,1.2419,1.2662,0.4930,0.6537,1.2290,7.8781,0.0488,1.0000,0.0114,0.1827,0.0059,5.0000,0.0831,0.0874,0.0218,10.0000,0.2495,0.0603,0.0542,0.4234,0.0041,0.2517,0.0000,14.6922,0.4837,0.0512,0.0997,10.4055,0.2654,0.0592,0.0594,5.2360,0.0884,0.0852,0.0231,1.1825,0.0143,0.1708,0.0059,5.4045,0.0923,0.0837,0.0264
Trachemys_scripta_scripta_1,1514,2.5045,2.6090,500,0.9703,31499,0.0000,0.2066,0.0739,1.2976,0.0175,52.6747,0.0502,0.3704,0.8598,1.8236,10.4193,2.0105,2.5295,12.0106,13.5032,0.6147,0.3866,0.4525,0.6989,0.0000,11.6252,0.6018,3.6697,0.3641,14.9170,1.9307,0.9476,2.0583,1.7760,26.2416,1.1891,1.2079,4.3892,16.1407,7.4205,0.0278,0.6433,4.8495,2.5055,2.4976,2.5033,2.4999,2.5042,2.4988,2.4986,2.5017,2.5047,2.5035,2.4942,2.5033,2.5004,2.5017,2.4989,2.5039,2.5081,2.5040,2.4941,1.4489,1.1631,1.3872,1.5092,1.2109,1.7803,0.9852,1.2674,1.7863,1.1567,1.7280,0.6722,1.1747,0.7779,1.2547,1.2626,0.4942,0.6791,1.2265,7.8639,0.0483,1.0000,0.0113,0.1819,0.0046,5.0000,0.0849,0.0829,0.0343,10.0000,0.2814,0.0586,0.0542,0.1977,0.0019,0.3101,0.0000,14.5118,0.5051,0.0509,0.0997,10.4640,0.3070,0.0576,0.0581,7.6689,0.1861,0.0660,0.0376,1.1431,0.0130,0.1723,0.0046,5.0350,0.0855,0.0826,0.0343
Trachemys_scripta_scripta_2,1514,2.5298,2.6310,500,0.9710,31494,0.0173,1.6758,0.3715,0.5943,0.0373,54.9773,0.1301,0.4245,4.9408,0.6604,6.8534,0.2721,1.1599,11.8432,13.5729,0.2304,0.8236,0.4921,0.9231,5.2687,16.3205,0.0000,3.1004,0.5601,10.9970,1.6591,1.4358,1.2068,1.1285,32.4151,1.8234,0.7490,12.8795,1.5209,3.8587,0.1537,0.6239,4.2990,2.5283,2.5205,2.5299,2.5198,2.5301,2.5268,2.5234,2.5279,2.5302,2.5259,2.5181,2.5240,2.5241,2.5205,2.5229,2.5311,2.5302,2.5279,2.5203,1.4714,1.1760,1.4236,1.5682,1.2549,1.8389,1.0310,1.3146,1.8461,1.1889,1.7808,0.6992,1.2214,0.8092,1.2645,1.2900,0.5108,0.6920,1.2610,7.8351,0.0470,1.0000,0.0118,0.1698,0.0040,5.0000,0.0916,0.0795,0.0337,10.0000,0.2910,0.0571,0.0535,0.1025,0.0010,0.3513,0.0000,14.0156,0.4970,0.0504,0.0984,10.2528,0.3048,0.0566,0.0568,6.9646,0.1599,0.0672,0.0370,1.1335,0.0138,0.1615,0.0040,4.9157,0.0892,0.0802,0.0337
Trachemys_scripta_scripta_3,1514,2.5076,2.6232,500,0.9710,31501,0.0065,0.9401,0.3884,0.9667,0.2037,53.5656,0.0983,0.2007,7.5315,1.2240,3.4586,1.2169,1.4501,12.5706,11.9358,1.3055,0.8975,1.2043,0.8352,0.0219,20.2547,0.0000,2.5048,0.1534,4.2247,1.4236,0.2758,3.4904,1.1424,20.4741,1.1571,0.9554,12.1704,17.2116,9.8418,0.2344,0.3737,4.0898,2.5062,2.5003,2.5087,2.5028,2.5074,2.5050,2.5037,2.5084,2.5056,2.5056,2.4958,2.5017,2.5037,2.5044,2.4971,2.5079,2.5109,2.5057,2.5007,1.4479,1.1634,1.4005,1.5143,1.2234,1.7862,1.0132,1.2785,1.7978,1.1499,1.7250,0.6371,1.2035,0.7926,1.2628,1.2644,0.4890,0.6682,1.2323,7.8610,0.0482,1.0000,0.0117,0.1734,0.0033,5.0000,0.0874,0.0835,0.0244,10.0000,0.2737,0.0590,0.0561,0.0685,0.0007,0.3934,0.0000,14.4626,0.4840,0.0511,0.0991,10.5013,0.2951,0.0578,0.0581,6.6751,0.1380,0.0716,0.0337,1.5202,0.0199,0.1457,0.0046,5.1329,0.0907,0.0823,0.0264
Trachemys_scripta_scripta_4,1514,2.5288,2.6336,500,0.9711,31500,0.0116,2.3254,0.3771,0.5490,0.0029,48.9996,0.0772,0.4187,12.4658,0.8113,3.8408,0.7800,2.5561,12.9138,11.9337,0.4115,0.3914,0.3663,0.7679,0.0141,26.9005,0.0000,1.8819,0.0037,7.3604,1.1037,0.3501,0.3127,0.3766,28.0167,1.0977,1.4416,14.2531,4.8964,7.9820,0.0029,0.4966,3.5093,2.5272,2.5200,2.5305,2.5241,2.5255,2.5261,2.5223,2.5297,2.5279,2.5290,2.5118,2.5281,2.5208,2.5202,2.5165,2.5293,2.5301,2.5280,2.5195,1.4491,1.1717,1.4066,1.5480,1.2513,1.8128,1.0354,1.3086,1.8204,1.1884,1.7499,0.6633,1.2348,0.8129,1.2736,1.2701,0.5055,0.6728,1.2274,7.8406,0.0473,1.0000,0.0125,0.1686,0.0020,5.0000,0.0874,0.0799,0.0330,10.0000,0.2962,0.0571,0.0528,0.7332,0.0089,0.1888,0.0000,14.1966,0.5184,0.0504,0.0997,10.5752,0.3201,0.0559,0.0555,8.9761,0.2450,0.0598,0.0443,1.0844,0.0138,0.1634,0.0020,4.9171,0.0850,0.0807,0.0317
Trachemys_scripta_scripta_5,1514,2.4882,2.5941,500,0.9702,31499,0.0000,3.2134,3.4691,0.4255,0.1777,55.9369,0.0949,0.2274,6.5483,0.8887,3.4330,4.4560,0.7129,10.0068,6.6712,2.9307,0.0000,0.2493,0.5582,0.0000,28.0637,0.1814,2.0491,0.2693,31.0088,1.2777,0.1438,0.1482,1.4160,13.7580,1.2227,1.9062,4.8886,2.6133,7.2939,0.0000,0.3675,3.3917,2.4866,2.4803,2.4896,2.4835,2.4845,2.4830,2.4810,2.4898,2.4886,2.4867,2.4764,2.4819,2.4837,2.4845,2.4819,2.4842,2.4887,2.4870,2.4787,1.4737,1.1667,1.4290,1.5241,1.2193,1.8208,1.0866,1.2778,1.8277,1.1614,1.7207,0.7079,1.2545,0.8003,1.2491,1.3027,0.5049,0.6444,1.2340,7.8730,0.0485,1.0000,0.0104,0.1901,0.0040,5.0000,0.0783,0.0875,0.0264,10.0000,0.2494,0.0594,0.0627,0.1216,0.0012,0.3707,0.0000,13.8826,0.4415,0.0514,0.0997,9.9039,0.2425,0.0597,0.0594,5.6192,0.0930,0.0817,0.0271,1.2477,0.0141,0.1733,0.0053,5.4311,0.0886,0.0833,0.0271
Trachemys_scripta_scripta_6,1514,2.4929,2.6004,500,0.9703,31504,0.9453,0.9188,2.2240,1.3100,0.0155,53.8021,0.1107,0.3205,4.4694,2.1818,5.6628,0.8999,2.1825,12.0435,10.2746,0.2233,1.3358,0.2719,0.8077,6.6900,15.9891,0.9720,4.2832,0.3183,9.1789,1.9575,2.2347,5.2231,1.9941,26.6146,1.9526,2.6255,4.4473,5.1757,5.1197,0.3392,0.8970,3.9875,2.4956,2.4859,2.4920,2.4916,2.4900,2.4932,2.4842,2.4919,2.4940,2.4914,2.4871,2.4891,2.4867,2.4893,2.4906,2.4920,2.4944,2.4935,2.4882,1.4651,1.1433,1.4140,1.5277,1.2374,1.7742,1.0224,1.2929,1.7932,1.1599,1.7229,0.6667,1.1940,0.7856,1.2292,1.2859,0.4972,0.6490,1.2347,7.8690,0.0485,1.0000,0.0117,0.1816,0.0040,5.0000,0.0853,0.0854,0.0376,10.0000,0.2604,0.0594,0.0542,0.4728,0.0051,0.2369,0.0000,14.5135,0.4833,0.0510,0.0978,10.7115,0.2974,0.0576,0.0581,9.2546,0.2242,0.0616,0.0495,1.1763,0.0143,0.1704,0.0040,5.2792,0.0914,0.0830,0.0383
Trachemys_scripta_scripta_7,1514,2.4908,2.5984,500,0.9702,31504,1.6300,1.6944,3.9890,0.5640,0.0085,52.6049,0.0818,0.4665,0.4347,1.1310,10.3423,2.3310,0.6911,9.4922,8.9413,2.8521,0.8598,0.4080,1.4773,3.6572,15.7097,0.3520,3.2639,0.0557,14.8397,1.8473,1.9502,0.5312,1.1804,28.2553,1.8998,3.2679,11.1282,5.1432,2.2554,0.3134,0.6303,3.7191,2.4921,2.4846,2.4932,2.4901,2.4931,2.4918,2.4885,2.4931,2.4921,2.4920,2.4842,2.4891,2.4882,2.4900,2.4876,2.4935,2.4959,2.4908,2.4857,1.4609,1.1605,1.4084,1.4938,1.2183,1.7490,0.9671,1.2661,1.7649,1.1225,1.7132,0.6520,1.2132,0.7997,1.2401,1.2710,0.4864,0.6775,1.2409,7.8750,0.0487,1.0000,0.0116,0.1832,0.0040,5.0000,0.0817,0.0874,0.0324,10.0000,0.2510,0.0598,0.0555,0.2754,0.0027,0.2862,0.0000,14.3358,0.4800,0.0513,0.0984,10.3592,0.2683,0.0588,0.0588,8.3517,0.1871,0.0655,0.0462,1.4014,0.0176,0.1601,0.0053,5.4242,0.0917,0.0835,0.0357
Trachemys_scripta_scripta_8,1514,2.4966,2.6031,500,0.9705,31507,1.4814,0.5853,0.4394,0.5128,0.0706,49.5680,0.1221,0.3599,12.1969,1.4064,3.3065,0.8950,1.5216,12.9780,12.1328,0.1760,0.7968,0.8053,0.6452,0.6199,13.7323,0.0441,2.2331,0.5118,7.0609,1.5363,0.1708,2.3625,0.9631,26.2509,0.9675,2.8727,13.9572,15.5125,5.7609,0.1082,0.4899,4.8453,2.4975,2.4898,2.4961,2.4927,2.4981,2.4944,2.4932,2.4986,2.4964,2.4965,2.4869,2.4943,2.4913,2.4920,2.4913,2.4973,2.4966,2.4961,2.4894,1.4445,1.1609,1.4033,1.5405,1.2273,1.7992,1.0280,1.2770,1.8145,1.1533,1.7308,0.6660,1.2241,0.8021,1.2521,1.2699,0.4979,0.6724,1.2462,7.8640,0.0483,1.0000,0.0119,0.1761,0.0040,5.0000,0.0893,0.0843,0.0337,10.0000,0.2639,0.0592,0.0614,0.3957,0.0040,0.2457,0.0000,14.4057,0.4795,0.0511,0.0997,9.6923,0.2485,0.0601,0.0601,6.0362,0.1147,0.0763,0.0383,1.2568,0.0154,0.1605,0.0046,5.1990,0.0930,0.0826,0.0343
Trachemys_scripta_scripta_9,1514,2.4967,2.6032,500,0.9704,31500,0.0142,1.2653,2.2106,0.7757,0.1478,59.0278,0.3268,0.4699,5.2445,0.5535,1.9351,0.1075,2.8359,11.5108,12.1370,0.0488,0.3257,0.3763,0.6870,2.8861,13.3690,0.4996,2.9922,0.3030,27.7179,1.6917,2.9731,0.2884,1.9121,20.2212,0.8417,2.9711,9.6275,2.3648,3.2730,0.0004,0.4681,5.5990,2.4958,2.4889,2.4958,2.4939,2.4971,2.4937,2.4879,2.4961,2.4961,2.4956,2.4863,2.4946,2.4880,2.4906,2.4924,2.4973,2.4989,2.4940,2.4845,1.4732,1.1564,1.4290,1.5565,1.2702,1.8156,1.0102,1.3266,1.8244,1.1690,1.7405,0.6536,1.2255,0.8100,1.2374,1.2960,0.5097,0.6839,1.2517,7.8725,0.0486,1.0000,0.0113,0.1843,0.0059,5.0000,0.0824,0.0874,0.0304,10.0000,0.2469,0.0595,0.0608,0.3204,0.0032,0.2751,0.0000,14.3242,0.4959,0.0509,0.0997,9.9124,0.2411,0.0598,0.0601,6.4253,0.1149,0.0757,0.0350,1.6208,0.0207,0.1509,0.0059,5.4493,0.0920,0.0833,0.0317
